model,model_group,finding,dimension,auroc_gap,gap_ci_lo,gap_ci_hi,sens_gap,spec_gap,fpr_gap,fnr_gap,ece_gap
DINOv2-base,clean,Edema,Gender,0.0156455982865652,0.0017328342187683005,0.03171590084563928,0.0006537129021649823,0.0456191001210523,0.0456191001210523,0.0006537129021649823,0.0075217139261481245
DINOv2-base,clean,Edema,Age,0.04177138845236872,0.022724732061153642,0.06157867577069133,0.03624113704268439,0.1198800575562734,0.1198800575562734,0.03624113704268439,0.008035550827914469
DINOv2-base,clean,Edema,Race,0.032974182700726495,0.012903650345751623,0.06865119621335901,0.05105337319998626,0.041392140144174916,0.041392140144174916,0.05105337319998626,0.03274273587005955
DINOv2-base,clean,Enlarged Cardiomediastinum,Gender,0.010987266144399932,0.0008131799741898483,0.043529116079397925,0.05841464873455582,0.017745527695955166,0.017745527695955166,0.05841464873455582,0.0037111250733051146
DINOv2-base,clean,Enlarged Cardiomediastinum,Age,0.06566033550947403,0.03215198764246903,0.10654864434014248,0.1732972756410256,0.27378984745079127,0.27378984745079127,0.1732972756410256,0.036069571445057284
DINOv2-base,clean,Enlarged Cardiomediastinum,Race,0.024743192744838605,0.013241022097957874,0.1100014421773937,0.08472998137802612,0.06508434094640991,0.06508434094640991,0.08472998137802612,0.046847068780387024
DINOv2-base,clean,Lung Opacity,Gender,0.014036769920846903,0.0009384351619071558,0.0546720639818293,0.009259776186159918,0.023496582682897227,0.023496582682897227,0.009259776186159918,0.0028186827875914264
DINOv2-base,clean,Lung Opacity,Age,0.06906731366036845,0.027556664444719582,0.11687515177939335,0.12263633179120026,0.27223996350364965,0.27223996350364965,0.12263633179120026,0.002939540455994996
DINOv2-base,clean,Lung Opacity,Race,0.02289697086225495,0.01712540080816049,0.11841783327245961,0.05995381449637882,0.058991683991683974,0.058991683991683974,0.05995381449637882,0.003572232613280316
DINOv2-base,clean,Pleural Effusion,Gender,0.010772026379089916,0.002049413192007352,0.01974630502537598,0.010939075745427074,0.02192720715692531,0.02192720715692531,0.010939075745427074,0.007151599619879134
DINOv2-base,clean,Pleural Effusion,Age,0.017876680637475495,0.00656852113000169,0.03122559211649094,0.06480797832517904,0.11160603810937886,0.11160603810937886,0.06480797832517904,0.008488105411594851
DINOv2-base,clean,Pleural Effusion,Race,0.01382367733118417,0.007152176105296718,0.03146475104315967,0.046995359612923226,0.043542956247326514,0.043542956247326514,0.046995359612923226,0.027793216096263736
DINOv2-base,clean,Pneumonia,Gender,0.03813968846535909,0.0019993995537209153,0.10610976562808942,0.03038936372269707,0.04465517241379313,0.04465517241379313,0.03038936372269707,0.004258714928961571
