model,attribute,attribute_type,disease,auroc_baseline,auroc_residualized,auroc_drop
CheXzero,obesity,comorbidity,Cardiomegaly,0.8755736911120735,0.866232109674888,0.009341581437185553
CheXzero,obesity,comorbidity,Consolidation,0.9152687210443294,0.9150625380382805,0.00020618300604891004
CheXzero,obesity,comorbidity,Edema,0.9082061503457104,0.9073037976204414,0.0009023527252689512
CheXzero,obesity,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.7867885398264076,0.0037780679519675564
CheXzero,obesity,comorbidity,Lung Opacity,0.7706535411248028,0.7710559416705752,-0.0004024005457724522
CheXzero,obesity,comorbidity,Pleural Effusion,0.9246298359907297,0.9246516820852779,-2.184609454825015e-05
CheXzero,obesity,comorbidity,Pneumonia,0.7926045840546306,0.7919077728235997,0.000696811231030936
CheXzero,obesity,comorbidity,Pneumothorax,0.7236052117596459,0.717053141579182,0.006552070180463887
CheXzero,obesity,comorbidity,Support Devices,0.7939941187191566,0.7943183252018842,-0.0003242064827275737
CheXzero,hypothyroidism,comorbidity,Atelectasis,0.7665786124831884,0.7650672167037579,0.001511395779430491
CheXzero,hypothyroidism,comorbidity,Cardiomegaly,0.8755736911120735,0.8734874890339919,0.0020862020780816337
CheXzero,hypothyroidism,comorbidity,Consolidation,0.9152687210443294,0.9149045472047298,0.00036417383959963523
CheXzero,hypothyroidism,comorbidity,Edema,0.9082061503457104,0.9058282056108542,0.0023779447348561966
CheXzero,hypothyroidism,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.7907079396779066,-0.00014133189953147163
CheXzero,hypothyroidism,comorbidity,Lung Opacity,0.7706535411248028,0.7705914488551571,6.209226964570824e-05
CheXzero,hypothyroidism,comorbidity,Pleural Effusion,0.9246298359907297,0.9232191699479663,0.0014106660427634088
CheXzero,hypothyroidism,comorbidity,Pneumonia,0.7926045840546306,0.7912982795588641,0.0013063044957665193
CheXzero,hypothyroidism,comorbidity,Pneumothorax,0.7236052117596459,0.7234935146071213,0.00011169715252457024
CheXzero,hypothyroidism,comorbidity,Support Devices,0.7939941187191566,0.793271401132795,0.0007227175863615543
CheXzero,ckd,comorbidity,Atelectasis,0.7665786124831884,0.7607489430482428,0.005829669434945561
CheXzero,ckd,comorbidity,Cardiomegaly,0.8755736911120735,0.8508086736960168,0.024765017416056745
CheXzero,ckd,comorbidity,Consolidation,0.9152687210443294,0.914082796139658,0.0011859249046713982
CheXzero,ckd,comorbidity,Edema,0.9082061503457104,0.8983882275863028,0.009817922759407627
CheXzero,ckd,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.7842292034718489,0.006337404306526295
CheXzero,ckd,comorbidity,Lung Opacity,0.7706535411248028,0.7689034984863344,0.001750042638468341
CheXzero,ckd,comorbidity,Pleural Effusion,0.9246298359907297,0.9195227424813379,0.005107093509391758
CheXzero,ckd,comorbidity,Pneumonia,0.7926045840546306,0.7918263453550307,0.0007782386995999202
CheXzero,ckd,comorbidity,Pneumothorax,0.7236052117596459,0.7226651862185989,0.000940025541046996
CheXzero,ckd,comorbidity,Support Devices,0.7939941187191566,0.7920054186294303,0.001988700089726292
CheXzero,aki,comorbidity,Atelectasis,0.7665786124831884,0.7582707605830876,0.008307851900100749
CheXzero,aki,comorbidity,Cardiomegaly,0.8755736911120735,0.8589822827249745,0.01659140838709905
CheXzero,aki,comorbidity,Consolidation,0.9152687210443294,0.9078133422762107,0.007455378768118748
CheXzero,aki,comorbidity,Edema,0.9082061503457104,0.8954561849179349,0.012749965427775511
CheXzero,aki,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.7811137568169599,0.009452850961415238
CheXzero,aki,comorbidity,Lung Opacity,0.7706535411248028,0.7618044599837974,0.008849081141005355
CheXzero,aki,comorbidity,Pleural Effusion,0.9246298359907297,0.9161284055408864,0.008501430449843306
CheXzero,aki,comorbidity,Pneumonia,0.7926045840546306,0.7880330958192251,0.004571488235405541
CheXzero,aki,comorbidity,Pneumothorax,0.7236052117596459,0.7242168734768937,-0.0006116617172478023
CheXzero,aki,comorbidity,Support Devices,0.7939941187191566,0.784011888739345,0.009982229979811574
CheXzero,copd,comorbidity,Atelectasis,0.7665786124831884,0.7640732900299747,0.0025053224532136653
CheXzero,copd,comorbidity,Cardiomegaly,0.8755736911120735,0.8717196829204192,0.003854008191654268
CheXzero,copd,comorbidity,Consolidation,0.9152687210443294,0.9120115263752779,0.0032571946690514997
CheXzero,copd,comorbidity,Edema,0.9082061503457104,0.9022026570786364,0.006003493267073945
CheXzero,copd,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.7854786593952429,0.0050879483831323125
CheXzero,copd,comorbidity,Lung Opacity,0.7706535411248028,0.7589436852428261,0.011709855881976705
CheXzero,copd,comorbidity,Pleural Effusion,0.9246298359907297,0.9227343174979963,0.0018955184927333946
CheXzero,copd,comorbidity,Pneumonia,0.7926045840546306,0.7907643232649713,0.001840260789659376
CheXzero,copd,comorbidity,Pneumothorax,0.7236052117596459,0.7230936351147094,0.0005115766449365067
CheXzero,copd,comorbidity,Support Devices,0.7939941187191566,0.7929209076379542,0.0010732110812023965
CheXzero,asthma,comorbidity,Atelectasis,0.7665786124831884,0.7656377595638302,0.0009408529193581927
CheXzero,asthma,comorbidity,Cardiomegaly,0.8755736911120735,0.8756382378689114,-6.454675683786881e-05
CheXzero,asthma,comorbidity,Consolidation,0.9152687210443294,0.915054588813951,0.00021413223037847207
CheXzero,asthma,comorbidity,Edema,0.9082061503457104,0.908079935223313,0.00012621512239741062
CheXzero,asthma,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.7906423944491383,-7.578667076313383e-05
CheXzero,asthma,comorbidity,Lung Opacity,0.7706535411248028,0.7709144352534857,-0.0002608941286829092
CheXzero,asthma,comorbidity,Pleural Effusion,0.9246298359907297,0.9244487239022017,0.00018111208852800154
CheXzero,asthma,comorbidity,Pneumonia,0.7926045840546306,0.7924641361088435,0.0001404479457871588
CheXzero,asthma,comorbidity,Pneumothorax,0.7236052117596459,0.7226973498376014,0.0009078619220445061
CheXzero,asthma,comorbidity,Support Devices,0.7939941187191566,0.7945666498429789,-0.000572531123822273
CheXzero,respiratory_failure,comorbidity,Atelectasis,0.7665786124831884,0.7650491233783857,0.0015294891048026615
