model,disease,gap_baseline,gap_race_only,gap_cardiac_only,gap_joint_race_cardiac,red_race_only,red_cardiac_only,red_joint
DINOv2-base,Support Devices,0.08358485308067043,0.08429456037957828,0.09076307118113025,0.08949361640593512,-0.0007097072989078468,-0.007178218100459821,-0.005908763325264688
BiomedCLIP,Atelectasis,0.22777420957078742,0.23521531274620633,0.28170890710101737,0.281722930154489,-0.007441103175418906,-0.05393469753022995,-0.05394872058370159
BiomedCLIP,Cardiomegaly,0.06020571102790129,0.058402754520306854,0.05474332085796818,0.05122339070766735,0.0018029565075944332,0.005462390169933107,0.008982320320233939
BiomedCLIP,Consolidation,0.017086037529062348,0.018729873145500897,0.03334099131996293,0.03398101469801229,-0.0016438356164385493,-0.016254953790900584,-0.016894977168949943
BiomedCLIP,Edema,0.016827913012834705,0.017149736786386538,0.027979593749219878,0.027749887444420196,-0.00032182377355183256,-0.011151680736385172,-0.01092197443158549
BiomedCLIP,Enlarged Cardiomediastinum,0.024392510005717405,0.021535367148574736,0.03881406573520518,0.039892143638251,0.0028571428571426694,-0.014421555729487778,-0.015499633632533594
BiomedCLIP,Lung Opacity,0.07729555059292437,0.07975134627072411,0.11414497086024689,0.11027550258418006,-0.0024557956777997436,-0.03684942026732252,-0.032979951991255696
BiomedCLIP,Pleural Effusion,0.040559812534596396,0.040828802157122146,0.04755519357823823,0.04738204513678157,-0.0002689896225257504,-0.006995381043641835,-0.006822232602185174
BiomedCLIP,Pneumonia,0.04492149702253012,0.04270269788298575,0.052747234439557644,0.05211344033815035,0.0022187991395443696,-0.007825737417027523,-0.007191943315620231
BiomedCLIP,Pneumothorax,0.05505037317985806,0.05849907384951081,0.059959473369134986,0.061774819672386294,-0.003448700669652749,-0.004909100189276927,-0.0067244464925282355
BiomedCLIP,Support Devices,0.10863397675887165,0.10819765550635707,0.12125240150109495,0.11771391222179206,0.0004363212525145821,-0.0126184247422233,-0.009079935462920408
XRV-DenseNet-nih,Atelectasis,0.1259085990934613,0.12455287193655906,0.09555397781524688,0.09809655679561324,0.0013557271569022422,0.030354621278214422,0.02781204229784806
XRV-DenseNet-nih,Cardiomegaly,0.07292338646135321,0.07242149603621162,0.0551546770716127,0.055769807021604056,0.0005018904251415934,0.01776870938974051,0.017153579439749156
XRV-DenseNet-nih,Consolidation,0.04605134747963113,0.052279971349270316,0.05488383024442656,0.05777598710717158,-0.006228623869639183,-0.008832482764795424,-0.011724639627540445
XRV-DenseNet-nih,Edema,0.05504383182969996,0.05540377785424133,0.061411925702548276,0.059928700120899236,-0.0003599460245413688,-0.006368093872848313,-0.004884868291199274
XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.1294035367148575,0.12855835987911446,0.12360695907865737,0.12265457812627623,0.0008451768357430334,0.005796577636200118,0.006748958588581266
XRV-DenseNet-nih,Lung Opacity,0.15601552157095544,0.15394320103838344,0.17702962384512821,0.18430416766783042,0.002072320532572003,-0.021014102274172775,-0.02828864609687498
XRV-DenseNet-nih,Pleural Effusion,0.045641117979158596,0.04616534856500232,0.05445090668255281,0.05545599768318543,-0.0005242305858437213,-0.008809788703394217,-0.009814879704026835
XRV-DenseNet-nih,Pneumonia,0.05581067229385994,0.05251390284396551,0.06572989851678368,0.062159183945469154,0.003296769449894432,-0.009919226222923738,-0.006348511651609212
XRV-DenseNet-nih,Pneumothorax,0.08692828772491501,0.08393851925934348,0.10529657823745908,0.10104362379282927,0.0029897684655715295,-0.018368290512544072,-0.014115336067914264
XRV-DenseNet-nih,Support Devices,0.05732323540512718,0.0555714178982919,0.04826157570354539,0.05143746210642419,0.0017518175068352848,0.009061659701581792,0.00588577329870299
CLIP-ViT-B16,Atelectasis,0.13104672721737776,0.12524234126351153,0.1400254341794266,0.13915504144829238,0.005804385953866231,-0.008978706962048832,-0.008108314230914626
CLIP-ViT-B16,Cardiomegaly,0.024817710702081608,0.026907557341474986,0.019376281769572734,0.026938475429233666,-0.002089846639393378,0.005441428932508874,-0.002120764727152058
CLIP-ViT-B16,Consolidation,0.04359367452594576,0.04476577807480564,0.05285856516040466,0.0520427009392862,-0.0011721035488598819,-0.0092648906344589,-0.008449026413340444
CLIP-ViT-B16,Edema,0.035260587487109696,0.03560451478634985,0.042346657214045624,0.04235643960936142,-0.0003439272992401543,-0.0070860697269359285,-0.007095852122251722
CLIP-ViT-B16,Enlarged Cardiomediastinum,0.02328272818561372,0.02397385680778996,0.06249425241794815,0.058932138893293295,-0.0006911286221762403,-0.03921152423233443,-0.035649410707679574
