model,finding,dimension,group,n,auroc,ece,sensitivity,specificity,fpr,fnr
DINOv2-base,Consolidation,Age,70+,1093,0.8895356895356895,0.025251742504548643,0.8008534850640113,0.8,0.19999999999999996,0.19914651493598867
DINOv2-base,Consolidation,Race,White,1925,0.8800212618785659,0.032260160636042604,0.7871815940838126,0.8234463276836158,0.1765536723163842,0.2128184059161874
DINOv2-base,Consolidation,Race,Black,419,0.8548630136986302,0.05330174653372456,0.705,0.8584474885844748,0.14155251141552516,0.29500000000000004
DINOv2-base,Consolidation,Race,Asian,106,0.861111111111111,0.11845879542632311,0.7916666666666666,0.7058823529411765,0.2941176470588235,0.20833333333333337
DINOv2-base,Consolidation,Race,Other,236,0.8797755234189509,0.05098838476139774,0.7168141592920354,0.9024390243902439,0.09756097560975607,0.2831858407079646
DINOv2-base,Edema,Gender,Female,3807,0.8877704514278588,0.019779298062060316,0.8172198172198172,0.8148148148148148,0.18518518518518523,0.18278018278018282
DINOv2-base,Edema,Gender,Male,4454,0.8908240769338989,0.017900140593764192,0.8220701454234388,0.8109640831758034,0.18903591682419663,0.17792985457656119
DINOv2-base,Edema,Age,<50,1290,0.900537427163822,0.03672164919568066,0.8007590132827325,0.8636959370904325,0.13630406290956754,0.19924098671726753
DINOv2-base,Edema,Age,50-70,3485,0.8995326594720475,0.016440866948123023,0.8194600674915635,0.8347978910369068,0.16520210896309317,0.18053993250843647
DINOv2-base,Edema,Age,70+,3486,0.8677943463014424,0.031813054760725226,0.8248106060606061,0.7569141193595342,0.24308588064046577,0.17518939393939392
DINOv2-base,Edema,Race,White,5718,0.8909970089743117,0.0208563649402162,0.8316831683168316,0.8063393892539621,0.1936606107460379,0.16831683168316836
DINOv2-base,Edema,Race,Black,1093,0.8821427375330722,0.041710411599218275,0.7801801801801802,0.8215613382899628,0.1784386617100372,0.2198198198198198
DINOv2-base,Edema,Race,Asian,228,0.8789558789558791,0.04712768516396382,0.7606837606837606,0.8378378378378378,0.16216216216216217,0.23931623931623935
DINOv2-base,Edema,Race,Other,685,0.8655121023690838,0.05076231418614671,0.780564263322884,0.7950819672131147,0.20491803278688525,0.21943573667711602
DINOv2-base,Enlarged Cardiomediastinum,Gender,Female,882,0.7919236907945819,0.0581934725423662,0.6921641791044776,0.7658959537572254,0.2341040462427746,0.3078358208955224
DINOv2-base,Enlarged Cardiomediastinum,Gender,Male,1124,0.7624316344804221,0.07565569230253393,0.7089201877934272,0.6927835051546392,0.30721649484536084,0.29107981220657275
DINOv2-base,Enlarged Cardiomediastinum,Age,<50,483,0.7456675279931093,0.08796818554306043,0.6044444444444445,0.810077519379845,0.18992248062015504,0.39555555555555555
DINOv2-base,Enlarged Cardiomediastinum,Age,50-70,891,0.7953488372093024,0.05699068086528729,0.6957364341085271,0.7626666666666667,0.23733333333333329,0.30426356589147285
DINOv2-base,Enlarged Cardiomediastinum,Age,70+,632,0.7176372015081692,0.086161622257385,0.7580645161290323,0.5353535353535354,0.46464646464646464,0.24193548387096775
DINOv2-base,Enlarged Cardiomediastinum,Race,White,1346,0.7652723825379208,0.06167312736649397,0.7120098039215687,0.690566037735849,0.309433962264151,0.28799019607843135
DINOv2-base,Enlarged Cardiomediastinum,Race,Black,223,0.7800970873786408,0.06807333641889601,0.6833333333333333,0.7766990291262136,0.22330097087378642,0.31666666666666665
DINOv2-base,Enlarged Cardiomediastinum,Race,Asian,71,0.7752380952380953,0.17195574336977548,0.62,0.8095238095238095,0.19047619047619047,0.38
DINOv2-base,Enlarged Cardiomediastinum,Race,Other,194,0.7662950257289881,0.07563127822432426,0.6981132075471698,0.7386363636363636,0.26136363636363635,0.30188679245283023
DINOv2-base,Lung Opacity,Gender,Female,3716,0.7283412241778306,0.013629879365228185,0.7376955903271692,0.6467661691542289,0.3532338308457711,0.26230440967283075
DINOv2-base,Lung Opacity,Gender,Male,4738,0.7112483269711793,0.016280220458693845,0.7319310807786977,0.5724907063197026,0.42750929368029744,0.26806891922130227
DINOv2-base,Lung Opacity,Age,<50,1454,0.7181042434015624,0.025728762948968115,0.6416228399699474,0.6991869918699187,0.30081300813008127,0.3583771600300526
DINOv2-base,Lung Opacity,Age,50-70,3409,0.7400556117290191,0.01092621952338705,0.7144186046511628,0.657608695652174,0.34239130434782605,0.2855813953488372
DINOv2-base,Lung Opacity,Age,70+,3591,0.6766989283489989,0.018555778552771178,0.7893815635939323,0.4723926380368098,0.5276073619631902,0.2106184364060677
DINOv2-base,Lung Opacity,Race,White,5827,0.7143328259766615,0.015723399581003224,0.744896115627823,0.565068493150685,0.43493150684931503,0.255103884372177
DINOv2-base,Lung Opacity,Race,Black,1098,0.6924361493123772,0.024578318183716006,0.712180746561886,0.6375,0.36250000000000004,0.287819253438114
DINOv2-base,Lung Opacity,Race,Asian,293,0.7498800959232613,0.010806870445419376,0.7122302158273381,0.6666666666666666,0.33333333333333337,0.28776978417266186
