model,target,task,n_test,prevalence,linear_auroc,linear_auroc_ci_lo,linear_auroc_ci_hi,linear_auprc,mlp_auroc_mean,mlp_auroc_std,mlp_auroc_ensemble,perm_p,linear_mae,linear_mae_ci_lo,linear_mae_ci_hi,linear_r2,mlp_mae_mean,mlp_mae_std
CLIP-ViT-B16,hypertension,binary,35471,0.5169084848038217,0.6194098428122292,0.6134064225381254,0.6252391252161692,0.5938875281054802,0.6218545265187074,0.0004978703901571676,0.6228516984771207,0.0,,,,,,
CLIP-ViT-B16,ckd,binary,35471,0.2970179857206643,0.6957714217386788,0.6895395456201822,0.7013994095109869,0.4749712276316575,0.701216582845233,0.0015998137718350057,0.7034411298915815,,,,,,,
CLIP-ViT-B16,heart_failure,binary,35471,0.3393011188514108,0.7567023903612469,0.7516992692726743,0.7619018041279454,0.6147391956314964,0.7593104832320019,0.0010477499156731932,0.7608286370284222,,,,,,,
CLIP-ViT-B16,copd,binary,35471,0.2060619985001062,0.7073165423656269,0.7008105477934096,0.7138353776798821,0.38754223880166466,0.7126546439090455,0.0014065650860998764,0.7144585445331192,,,,,,,
CLIP-ViT-B16,smoking_history,binary,35471,0.0838900135684034,0.6532883881717415,0.642456590863692,0.6637491091414286,0.12727311051207765,0.6512964428200009,0.0041565991740859145,0.6545748404231728,,,,,,,
CLIP-ViT-B16,cancer_history,binary,35471,0.30445676534465044,0.6637375506530846,0.6574939025042494,0.6695926223891203,0.4651239370947299,0.6771191484475108,0.0004945615225679446,0.6794359190129459,,,,,,,
CLIP-ViT-B16,atrial_fibrillation,binary,35471,0.3044264206725246,0.7567282507591203,0.7515699920057128,0.7622032138422358,0.5691958065462333,0.7586496825876827,0.0009806068055875,0.7602894496203283,,,,,,,
CLIP-ViT-B16,coronary_artery_disease,binary,35471,0.3164342409280268,0.7168570116135651,0.7110818473800314,0.7223476080031961,0.5326724216750929,0.724172120272165,0.001258225658238608,0.7259958008113869,,,,,,,
CLIP-ViT-B16,obesity,binary,35471,0.18592614106804575,0.8473818906273689,0.8424584006645651,0.8523457376472181,0.5736825086457776,0.8479466815611765,0.0008086523445215304,0.8491691596978321,,,,,,,
CLIP-ViT-B16,anemia,binary,35471,0.48976300811069734,0.6605384947994988,0.6549254156156236,0.6664342093878953,0.6167911716380945,0.6624413774462563,0.001131141238299466,0.6639393912283035,,,,,,,
CLIP-ViT-B16,depression,binary,35471,0.2924229353701833,0.580706401136295,0.5750942728383251,0.5866653718607733,0.3490912219134069,0.5839944437481158,0.0014754398791355535,0.5867746527556864,0.0,,,,,,
CLIP-ViT-B16,hypothyroidism,binary,35471,0.16934061027470598,0.6521554857007306,0.6440351770176116,0.6593097875960822,0.244447789440116,0.6519429290322347,0.0013693851567617731,0.6545682708502026,,,,,,,
CLIP-ViT-B16,respiratory_failure,binary,35471,0.16929292578993685,0.6662016590334262,0.6592901897588409,0.6731091243267647,0.2904119219940266,0.6740920111334621,0.0017687812802878716,0.6764325232915787,,,,,,,
CLIP-ViT-B16,aki,binary,35471,0.42907799881222286,0.7004909842602693,0.6954034252346811,0.7060002121474188,0.6145519782887491,0.7041249712325218,0.0005902278586293947,0.7059768663640271,,,,,,,
CLIP-ViT-B16,stroke,binary,35471,0.0635807580099097,0.6204686151927793,0.6079300495677237,0.6315713108981028,0.08191913174372384,0.6043595940365317,0.003288662742714085,0.60652699355594,0.0,,,,,,
CLIP-ViT-B16,pulmonary_fibrosis,binary,35471,0.020716741155611812,0.6838912218412355,0.6659089224661189,0.7031549572247671,0.06138855303013412,0.6173075043372884,0.008255671020353477,0.620685801563077,,,,,,,
CLIP-ViT-B16,liver_disease,binary,35471,0.09961722363589862,0.691992808529211,0.6831441779626608,0.7007765671915198,0.25392225189948603,0.6901447551846933,0.002892878810593531,0.6929425087717623,,,,,,,
CLIP-ViT-B16,hyperlipidemia,binary,35471,0.4994949779567632,0.6834578987045989,0.6777116366329418,0.6888453137638615,0.6389923480243823,0.6896461007066517,0.0006176190700390522,0.6910555149316883,,,,,,,
CLIP-ViT-B16,asthma,binary,35471,0.16212724821508304,0.6400579836400673,0.6323579049757905,0.6478355206961525,0.2779224240457222,0.6358060484217815,0.0011384359888222705,0.6388587873494708,0.0,,,,,,
CLIP-ViT-B16,age,regression,35471,,,,,,,,,,9.77307667186049,9.696754629147984,9.849768609963776,0.5149470142696873,9.523509368799422,0.04116734114991653
CLIP-ViT-B16,bmi,regression,28101,,,,,,,,,,3.7280104956598556,3.686871015990164,3.7648270431711457,0.5263079550444094,3.6263941208604287,0.013049920389501935
