model,attribute,finding,auroc_drop,mcc_drop,mcc_base,auroc_base
CLIP-ViT-B16,heart_failure,Pneumothorax,0.004015660088238948,0.0021242008044202454,0.20651428505593633,0.6726654120090475
CLIP-ViT-B16,atrial_fibrillation,Cardiomegaly,0.047813819853934736,0.08013692007966933,0.3968355802239485,0.7821135153042906
CLIP-ViT-B16,atrial_fibrillation,Edema,0.018428173524060454,0.03861209178342562,0.552697903727084,0.8499659696230886
CLIP-ViT-B16,atrial_fibrillation,Pleural Effusion,0.02057102789714982,0.04758550232480857,0.5003538984382923,0.8335833070805667
CLIP-ViT-B16,atrial_fibrillation,Pneumonia,0.0031330517906420496,-0.005086934727744852,0.32346689772491294,0.7171622076753879
CLIP-ViT-B16,atrial_fibrillation,Pneumothorax,0.0003608039209018754,-0.00027760672830504096,0.20651428505593633,0.6726654120090475
CLIP-ViT-B16,age,Cardiomegaly,0.03322162580093502,0.06244550544082561,0.3968355802239485,0.7821135153042906
CLIP-ViT-B16,age,Edema,0.01485851773619895,0.03030450441291288,0.552697903727084,0.8499659696230886
CLIP-ViT-B16,age,Pleural Effusion,0.02386850812934993,0.0487669142726227,0.5003538984382923,0.8335833070805667
CLIP-ViT-B16,age,Pneumonia,0.003898238995279746,0.01370214294936195,0.32346689772491294,0.7171622076753879
CLIP-ViT-B16,age,Pneumothorax,-0.005048305792888952,-0.009693355826494165,0.20651428505593633,0.6726654120090475
CLIP-ViT-B16,sex,Cardiomegaly,-1.4228048550113392e-05,-0.00047253115245515787,0.3968355802239485,0.7821135153042906
CLIP-ViT-B16,sex,Edema,-0.00014046806669054668,0.003450526644800389,0.552697903727084,0.8499659696230886
CLIP-ViT-B16,sex,Pleural Effusion,3.71781843420127e-05,0.0025964079681142227,0.5003538984382923,0.8335833070805667
CLIP-ViT-B16,sex,Pneumonia,-0.00030099288381668643,0.004831155885206884,0.32346689772491294,0.7171622076753879
CLIP-ViT-B16,sex,Pneumothorax,-0.0007586559072449983,-0.001939021429404525,0.20651428505593633,0.6726654120090475
CLIP-ViT-B16,race_black_vs_white,Cardiomegaly,-0.0008454703165906574,0.005164856624548797,0.38298488199962055,0.775437075936992
CLIP-ViT-B16,race_black_vs_white,Edema,0.0006117851329354718,-0.0005563483582402551,0.5432232705188492,0.8494919153553988
CLIP-ViT-B16,race_black_vs_white,Pleural Effusion,0.004304571138327051,-0.0005049620840053004,0.48102732226843087,0.8281668869091653
CLIP-ViT-B16,race_black_vs_white,Pneumonia,0.0008082954079762228,-0.004250083387279613,0.3221823069044024,0.7175502735658463
CLIP-ViT-B16,race_black_vs_white,Pneumothorax,-0.0005882856153697213,-0.0037596915934484665,0.20557112360158974,0.6727873050099391
ConvNeXtV2-Base,heart_failure,Cardiomegaly,0.06745835924457622,0.10773892379894778,0.4545231547608935,0.8166918375883295
ConvNeXtV2-Base,heart_failure,Edema,0.03176174401382226,0.05962456786223658,0.6020941752456449,0.8773151905524418
ConvNeXtV2-Base,heart_failure,Pleural Effusion,0.014031564477624325,0.020828297563777687,0.5634233607195047,0.8682048441154571
ConvNeXtV2-Base,heart_failure,Pneumonia,0.004588351228896337,0.01841685143924171,0.3660443250404819,0.7383895979816152
ConvNeXtV2-Base,heart_failure,Pneumothorax,0.0022441727401993905,0.005739485585889492,0.2577124409587162,0.695334404409494
