model,strategy,n_attrs_removed,disease,dimension,overall_auroc,auroc_gap,auroc_Female,auroc_Male,auroc_<50,auroc_50-70,auroc_70+,gap_baseline,auroc_baseline,gap_reduction,gap_reduction_pct,auroc_cost
XRV-DenseNet-nih,top3,3,Pneumothorax,Age,0.622945,0.027968,,,0.642400,0.614433,0.614457,0.034212,0.630243,0.006244,18.251804,0.007298
XRV-DenseNet-nih,top3,3,Support Devices,Gender,0.669359,0.014061,0.661612,0.675673,,,,0.016596,0.679896,0.002535,15.276252,0.010537
XRV-DenseNet-nih,top3,3,Support Devices,Age,0.669359,0.116778,,,0.736917,0.668784,0.620140,0.109548,0.679896,-0.007230,-6.600071,0.010537
XRV-DenseNet-nih,all_confounders,9,Atelectasis,Gender,0.635515,0.038584,0.615445,0.654030,,,,0.030418,0.659998,-0.008166,-26.847505,0.024483
XRV-DenseNet-nih,all_confounders,9,Atelectasis,Age,0.635515,0.181998,,,0.765246,0.624210,0.583248,0.174909,0.659998,-0.007089,-4.052694,0.024483
XRV-DenseNet-nih,all_confounders,9,Cardiomegaly,Gender,0.729223,0.010996,0.723146,0.734142,,,,0.006585,0.804893,-0.004411,-66.987880,0.075670
XRV-DenseNet-nih,all_confounders,9,Cardiomegaly,Age,0.729223,0.059704,,,0.777153,0.741896,0.717450,0.062384,0.804893,0.002681,4.297118,0.075670
XRV-DenseNet-nih,all_confounders,9,Consolidation,Gender,0.764988,0.038978,0.783375,0.744397,,,,0.031380,0.791057,-0.007599,-24.215100,0.026068
XRV-DenseNet-nih,all_confounders,9,Consolidation,Age,0.764988,0.032485,,,0.771250,0.784486,0.752001,0.031355,0.791057,-0.001130,-3.604840,0.026068
XRV-DenseNet-nih,all_confounders,9,Edema,Gender,0.794902,0.010727,0.788752,0.799479,,,,0.002856,0.830900,-0.007871,-275.559619,0.035998
XRV-DenseNet-nih,all_confounders,9,Edema,Age,0.794902,0.053494,,,0.835616,0.803541,0.782122,0.056754,0.830900,0.003260,5.744254,0.035998
XRV-DenseNet-nih,all_confounders,9,Enlarged Cardiomediastinum,Gender,0.730608,0.023368,0.744807,0.721440,,,,0.015488,0.767205,-0.007880,-50.876794,0.036597
XRV-DenseNet-nih,all_confounders,9,Enlarged Cardiomediastinum,Age,0.730608,0.072285,,,0.707046,0.771990,0.699704,0.067061,0.767205,-0.005224,-7.790043,0.036597
XRV-DenseNet-nih,all_confounders,9,Lung Opacity,Gender,0.642950,0.015382,0.651393,0.636011,,,,0.040851,0.667383,0.025469,62.346614,0.024433
XRV-DenseNet-nih,all_confounders,9,Lung Opacity,Age,0.642950,0.056832,,,0.674302,0.664892,0.617470,0.078573,0.667383,0.021741,27.670185,0.024433
XRV-DenseNet-nih,all_confounders,9,Pleural Effusion,Gender,0.747510,0.005031,0.744861,0.749891,,,,0.015130,0.794450,0.010099,66.748942,0.046941
XRV-DenseNet-nih,all_confounders,9,Pleural Effusion,Age,0.747510,0.072143,,,0.795120,0.767671,0.722976,0.064874,0.794450,-0.007269,-11.205338,0.046941
XRV-DenseNet-nih,all_confounders,9,Pneumonia,Gender,0.687763,0.013125,0.680489,0.693615,,,,0.012771,0.703264,-0.000355,-2.777618,0.015501
XRV-DenseNet-nih,all_confounders,9,Pneumonia,Age,0.687763,0.031118,,,0.682214,0.703999,0.672881,0.031569,0.703264,0.000451,1.428609,0.015501
XRV-DenseNet-nih,all_confounders,9,Pneumothorax,Gender,0.616228,0.047466,0.644838,0.597372,,,,0.038588,0.630243,-0.008878,-23.007474,0.014015
XRV-DenseNet-nih,all_confounders,9,Pneumothorax,Age,0.616228,0.022539,,,0.628429,0.605890,0.615874,0.034212,0.630243,0.011673,34.118895,0.014015
XRV-DenseNet-nih,all_confounders,9,Support Devices,Gender,0.659956,0.008391,0.655286,0.663677,,,,0.016596,0.679896,0.008205,49.438286,0.019940
XRV-DenseNet-nih,all_confounders,9,Support Devices,Age,0.659956,0.111482,,,0.721419,0.662314,0.609937,0.109548,0.679896,-0.001935,-1.765906,0.019940
CLIP-ViT-B16,top3,3,Atelectasis,Gender,0.674008,0.060704,0.641577,0.702281,,,,0.054645,0.695069,-0.006059,-11.088044,0.021061
CLIP-ViT-B16,top3,3,Atelectasis,Age,0.674008,0.141071,,,0.777918,0.636847,0.670435,0.132549,0.695069,-0.008522,-6.429494,0.021061
CLIP-ViT-B16,top3,3,Cardiomegaly,Gender,0.703833,0.009427,0.709481,0.700053,,,,0.013939,0.782114,0.004512,32.366597,0.078281
CLIP-ViT-B16,top3,3,Cardiomegaly,Age,0.703833,0.048571,,,0.751411,0.708081,0.702840,0.052554,0.782114,0.003983,7.579701,0.078281
CLIP-ViT-B16,top3,3,Consolidation,Gender,0.833594,0.010079,0.838231,0.828152,,,,0.005032,0.845705,-0.005046,-100.270866,0.012111
CLIP-ViT-B16,top3,3,Consolidation,Age,0.833594,0.011863,,,0.833553,0.844657,0.832794,0.012290,0.845705,0.000427,3.475773,0.012111
CLIP-ViT-B16,top3,3,Edema,Gender,0.812905,0.011795,0.819091,0.807296,,,,0.015343,0.849966,0.003548,23.123324,0.037061
CLIP-ViT-B16,top3,3,Edema,Age,0.812905,0.031812,,,0.827606,0.833182,0.801370,0.038452,0.849966,0.006640,17.268780,0.037061
CLIP-ViT-B16,top3,3,Enlarged Cardiomediastinum,Gender,0.724206,0.034047,0.743697,0.709649,,,,0.023419,0.762605,-0.010628,-45.381554,0.038399
CLIP-ViT-B16,top3,3,Enlarged Cardiomediastinum,Age,0.724206,0.082520,,,0.718725,0.761127,0.678606,0.071898,0.762605,-0.010623,-14.774798,0.038399
