policy,attribute,finding,abs_log_or
U-Ignore,depression,Pneumothorax,0.2955956740669941
U-Ignore,depression,Support Devices,0.09419947260628479
U-Ignore,age,Atelectasis,0.3316720334278356
U-Ignore,age,Cardiomegaly,0.7685407169803002
U-Ignore,age,Consolidation,0.15769740764212062
U-Ignore,age,Edema,0.453125535804085
U-Ignore,age,Enlarged Cardiomediastinum,0.7435161645196396
U-Ignore,age,Lung Opacity,0.3485524325590157
U-Ignore,age,Pleural Effusion,0.7314979013204049
U-Ignore,age,Pneumonia,0.20325576233889006
U-Ignore,age,Pneumothorax,0.16266107486533574
U-Ignore,age,Support Devices,0.16966492073224834
U-Ignore,bmi,Atelectasis,0.11125981918508154
U-Ignore,bmi,Cardiomegaly,0.35788345995255266
U-Ignore,bmi,Consolidation,0.4983782427874371
U-Ignore,bmi,Edema,0.20661719045897678
U-Ignore,bmi,Enlarged Cardiomediastinum,0.2045612470058405
U-Ignore,bmi,Lung Opacity,0.22154676305077903
U-Ignore,bmi,Pleural Effusion,0.4201357957522484
U-Ignore,bmi,Pneumonia,0.4338170177665733
U-Ignore,bmi,Pneumothorax,0.5462989766547901
U-Ignore,bmi,Support Devices,0.16708315644644206
U-Ignore,race_black_vs_white,Atelectasis,0.2476310446563541
U-Ignore,race_black_vs_white,Cardiomegaly,0.3395038659696216
U-Ignore,race_black_vs_white,Consolidation,0.5253413397852239
U-Ignore,race_black_vs_white,Edema,0.0966433165455236
U-Ignore,race_black_vs_white,Enlarged Cardiomediastinum,0.09796425333119137
U-Ignore,race_black_vs_white,Lung Opacity,0.12969889788953082
U-Ignore,race_black_vs_white,Pleural Effusion,0.5180206127484154
U-Ignore,race_black_vs_white,Pneumonia,0.11202801079273542
U-Ignore,race_black_vs_white,Pneumothorax,0.3707047716078289
U-Ignore,race_black_vs_white,Support Devices,0.018752478509925022
U-Zero,gender_binary,Atelectasis,0.1862934448377037
U-Zero,gender_binary,Cardiomegaly,0.006478507316490132
U-Zero,gender_binary,Consolidation,0.17266843625842376
U-Zero,gender_binary,Edema,0.011478130617575058
U-Zero,gender_binary,Enlarged Cardiomediastinum,0.20537219787730215
U-Zero,gender_binary,Lung Opacity,0.13317142542445753
U-Zero,gender_binary,Pleural Effusion,0.08422442663410822
U-Zero,gender_binary,Pneumonia,0.11598965478481418
U-Zero,gender_binary,Pneumothorax,0.3009296374052636
U-Zero,gender_binary,Support Devices,0.3025759690580687
U-Zero,hypertension,Atelectasis,0.23277546414593597
U-Zero,hypertension,Cardiomegaly,0.22350699138629973
U-Zero,hypertension,Consolidation,0.03229724541858253
U-Zero,hypertension,Edema,0.1652182593638139
U-Zero,hypertension,Enlarged Cardiomediastinum,0.1790362065272323
U-Zero,hypertension,Lung Opacity,0.12874180746334607
U-Zero,hypertension,Pleural Effusion,0.159265010493597
U-Zero,hypertension,Pneumonia,0.036979240916461695
U-Zero,hypertension,Pneumothorax,0.16687639873690485
U-Zero,hypertension,Support Devices,0.13159701617678374
U-Zero,heart_failure,Atelectasis,0.26641165528162414
U-Zero,heart_failure,Cardiomegaly,1.1427240401068246
U-Zero,heart_failure,Consolidation,0.2632666448769316
U-Zero,heart_failure,Edema,1.35816302377257
U-Zero,heart_failure,Enlarged Cardiomediastinum,0.07403598755480639
U-Zero,heart_failure,Lung Opacity,0.31752931317786515
U-Zero,heart_failure,Pleural Effusion,0.7880327230695466
U-Zero,heart_failure,Pneumonia,0.18280669023333274
U-Zero,heart_failure,Pneumothorax,0.303581405511627
U-Zero,heart_failure,Support Devices,0.28318570070434457
U-Zero,atrial_fibrillation,Atelectasis,0.3684949165827968
U-Zero,atrial_fibrillation,Cardiomegaly,0.9449394791530088
U-Zero,atrial_fibrillation,Consolidation,0.2816218272746412
U-Zero,atrial_fibrillation,Edema,0.9690532683257834
U-Zero,atrial_fibrillation,Enlarged Cardiomediastinum,0.210107258982537
U-Zero,atrial_fibrillation,Lung Opacity,0.2702440147678072
U-Zero,atrial_fibrillation,Pleural Effusion,0.848902993484234
U-Zero,atrial_fibrillation,Pneumonia,0.08790489243111782
U-Zero,atrial_fibrillation,Pneumothorax,0.08088597895904517
