attribute,attribute_type,model,disease,auroc_baseline,auroc_residualized,auroc_drop
smoking_history,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.646925,0.000139
smoking_history,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.850096,-0.000097
smoking_history,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.723058,0.000008
smoking_history,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.676796,-0.000021
smoking_history,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.699125,0.000173
cancer_history,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.646090,-0.000876
cancer_history,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.786291,-0.001054
cancer_history,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.823263,0.002787
cancer_history,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.866959,0.000755
cancer_history,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.701121,0.002659
cancer_history,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.642747,0.004317
cancer_history,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.846047,0.003952
cancer_history,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.722710,0.000355
cancer_history,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.675225,0.001550
cancer_history,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.699176,0.000122
depression,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.646610,-0.001396
depression,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.785285,-0.000048
depression,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.825922,0.000128
depression,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.866866,0.000848
depression,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.703364,0.000416
depression,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.647022,0.000041
depression,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.850115,-0.000116
depression,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.723145,-0.000080
depression,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.675418,0.001357
depression,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.699371,-0.000073
sex,demographic,DINOv2-base,Atelectasis,0.706917,0.705311,0.001606
sex,demographic,DINOv2-base,Cardiomegaly,0.809906,0.810013,-0.000107
sex,demographic,DINOv2-base,Consolidation,0.862642,0.859024,0.003618
sex,demographic,DINOv2-base,Edema,0.886404,0.886271,0.000133
sex,demographic,DINOv2-base,Enlarged Cardiomediastinum,0.761144,0.762293,-0.001150
sex,demographic,DINOv2-base,Lung Opacity,0.719201,0.719321,-0.000120
sex,demographic,DINOv2-base,Pleural Effusion,0.885403,0.885703,-0.000300
sex,demographic,DINOv2-base,Pneumonia,0.739516,0.739619,-0.000103
sex,demographic,DINOv2-base,Pneumothorax,0.711447,0.710600,0.000847
sex,demographic,DINOv2-base,Support Devices,0.730918,0.730771,0.000147
age,demographic,DINOv2-base,Atelectasis,0.706917,0.689168,0.017748
age,demographic,DINOv2-base,Cardiomegaly,0.809906,0.780861,0.029045
age,demographic,DINOv2-base,Consolidation,0.862642,0.859098,0.003543
age,demographic,DINOv2-base,Edema,0.886404,0.876286,0.010118
age,demographic,DINOv2-base,Enlarged Cardiomediastinum,0.761144,0.741529,0.019614
age,demographic,DINOv2-base,Lung Opacity,0.719201,0.698509,0.020693
age,demographic,DINOv2-base,Pleural Effusion,0.885403,0.867686,0.017716
age,demographic,DINOv2-base,Pneumonia,0.739516,0.737888,0.001629
age,demographic,DINOv2-base,Pneumothorax,0.711447,0.714407,-0.002960
age,demographic,DINOv2-base,Support Devices,0.730918,0.726979,0.003939
bmi,demographic,DINOv2-base,Atelectasis,0.706917,0.706288,0.000629
bmi,demographic,DINOv2-base,Cardiomegaly,0.809906,0.799905,0.010001
bmi,demographic,DINOv2-base,Consolidation,0.862642,0.855891,0.006751
bmi,demographic,DINOv2-base,Edema,0.886404,0.886319,0.000085
bmi,demographic,DINOv2-base,Enlarged Cardiomediastinum,0.761144,0.761903,-0.000760
bmi,demographic,DINOv2-base,Lung Opacity,0.719201,0.715366,0.003836
bmi,demographic,DINOv2-base,Pleural Effusion,0.885403,0.882441,0.002962
bmi,demographic,DINOv2-base,Pneumonia,0.739516,0.734860,0.004656
bmi,demographic,DINOv2-base,Pneumothorax,0.711447,0.699798,0.011649
bmi,demographic,DINOv2-base,Support Devices,0.730918,0.730926,-0.000008
hypertension,comorbidity,DINOv2-base,Atelectasis,0.696113,0.696642,-0.000530
hypertension,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.807515,0.005709
hypertension,comorbidity,DINOv2-base,Consolidation,0.882760,0.882867,-0.000107
hypertension,comorbidity,DINOv2-base,Edema,0.889433,0.888826,0.000607
hypertension,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.770233,0.003469
hypertension,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.716729,0.002071
hypertension,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.882361,0.001311
hypertension,comorbidity,DINOv2-base,Pneumonia,0.745943,0.745947,-0.000004
hypertension,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.700817,0.001390
hypertension,comorbidity,DINOv2-base,Support Devices,0.745245,0.744067,0.001178
heart_failure,comorbidity,DINOv2-base,Atelectasis,0.696113,0.683254,0.012859
heart_failure,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.745246,0.067979
heart_failure,comorbidity,DINOv2-base,Consolidation,0.882760,0.877058,0.005702
heart_failure,comorbidity,DINOv2-base,Edema,0.889433,0.859859,0.029574
heart_failure,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.748690,0.025012
heart_failure,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.709521,0.009279
heart_failure,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.870947,0.012725
heart_failure,comorbidity,DINOv2-base,Pneumonia,0.745943,0.742539,0.003404
heart_failure,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.699564,0.002643
heart_failure,comorbidity,DINOv2-base,Support Devices,0.745245,0.741475,0.003770
atrial_fibrillation,comorbidity,DINOv2-base,Atelectasis,0.696113,0.681867,0.014245
atrial_fibrillation,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.763941,0.049283
atrial_fibrillation,comorbidity,DINOv2-base,Consolidation,0.882760,0.874074,0.008687
atrial_fibrillation,comorbidity,DINOv2-base,Edema,0.889433,0.873930,0.015503
atrial_fibrillation,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.757328,0.016374
atrial_fibrillation,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.708776,0.010024
atrial_fibrillation,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.867166,0.016507
atrial_fibrillation,comorbidity,DINOv2-base,Pneumonia,0.745943,0.743895,0.002048
atrial_fibrillation,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.702217,-0.000010
atrial_fibrillation,comorbidity,DINOv2-base,Support Devices,0.745245,0.736370,0.008875
coronary_artery_disease,comorbidity,DINOv2-base,Atelectasis,0.696113,0.688090,0.008023
coronary_artery_disease,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.786317,0.026908
coronary_artery_disease,comorbidity,DINOv2-base,Consolidation,0.882760,0.882739,0.000022
coronary_artery_disease,comorbidity,DINOv2-base,Edema,0.889433,0.880779,0.008655
coronary_artery_disease,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.770365,0.003337
coronary_artery_disease,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.714959,0.003841
coronary_artery_disease,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.879108,0.004564
coronary_artery_disease,comorbidity,DINOv2-base,Pneumonia,0.745943,0.745759,0.000184
coronary_artery_disease,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.699876,0.002331
coronary_artery_disease,comorbidity,DINOv2-base,Support Devices,0.745245,0.745409,-0.000164
stroke,comorbidity,DINOv2-base,Atelectasis,0.696113,0.696093,0.000020
stroke,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.810362,0.002863
stroke,comorbidity,DINOv2-base,Consolidation,0.882760,0.883235,-0.000475
stroke,comorbidity,DINOv2-base,Edema,0.889433,0.887516,0.001918
stroke,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.772947,0.000755
