model,disease,baseline_auroc,linear_resid_auroc,mlp_resid_auroc,linear_drop,mlp_drop,extra_mlp_drop,linear_r2,mlp_r2
CLIP-ViT-B16,Edema,0.8540729673004477,0.8484444383715647,0.8453013402243765,0.005628528928882992,0.008771627076071153,0.0031430981471881614,0.03073598033190222,0.03618706642384306
CLIP-ViT-B16,Enlarged Cardiomediastinum,0.7776326906828481,0.7643951148321684,0.7646147937629619,0.01323757585067975,0.013017896919886196,-0.00021967893079355427,0.03073598033190222,0.03618706642384306
CLIP-ViT-B16,Pleural Effusion,0.8424836563194025,0.8337720567685558,0.8314945729664536,0.00871159955084666,0.010989083352948903,0.0022774838021022425,0.03073598033190222,0.03618706642384306
CLIP-ViT-B16,Pneumonia,0.7263445696309961,0.7270546633568999,0.722581696583465,-0.0007100937259038043,0.00376287304753109,0.004472966773434894,0.03073598033190222,0.03618706642384306
CLIP-ViT-B16,Pneumothorax,0.674506617918048,0.670193144836094,0.6689802814897267,0.004313473081953956,0.005526336428321343,0.0012128633463673877,0.03073598033190222,0.03618706642384306
ConvNeXtV2-Base,Cardiomegaly,0.8181048100520816,0.7947379008376734,0.8013324278279346,0.023366909214408205,0.01677238222414701,-0.006594526990261196,0.04651820521893776,0.056579165417787854
ConvNeXtV2-Base,Consolidation,0.8809365179913304,0.8750237855696738,0.8721103948528772,0.005912732421656686,0.008826123138453212,0.0029133907167965267,0.04651820521893776,0.056579165417787854
ConvNeXtV2-Base,Edema,0.8867021973328384,0.8845679367178697,0.8826235288546735,0.002134260614968686,0.0040786684781648486,0.0019444078631961625,0.04651820521893776,0.056579165417787854
ConvNeXtV2-Base,Enlarged Cardiomediastinum,0.7853055790255269,0.7736538904677779,0.779622602862483,0.011651688557749007,0.005682976163043918,-0.005968712394705089,0.04651820521893776,0.056579165417787854
ConvNeXtV2-Base,Pleural Effusion,0.878768156188198,0.8713101896528306,0.8730885698417226,0.007457966535367455,0.005679586346475474,-0.0017783801888919815,0.04651820521893776,0.056579165417787854
ConvNeXtV2-Base,Pneumonia,0.7500412334840838,0.7511068360727613,0.7467158742676725,-0.0010656025886774945,0.0033253592164113055,0.0043909618050888,0.04651820521893776,0.056579165417787854
ConvNeXtV2-Base,Pneumothorax,0.7051444925239861,0.7007597341718361,0.6963789386724571,0.00438475835215002,0.008765553851528995,0.0043807954993789755,0.04651820521893776,0.056579165417787854
