model,strategy,n_attrs_removed,disease,dimension,overall_auroc,auroc_gap,auroc_Female,auroc_Male,auroc_<50,auroc_50-70,auroc_70+
CLIP-ViT-B16,baseline,0,Consolidation,Gender,0.845705,0.005032,0.847203,0.842170,,,
CLIP-ViT-B16,baseline,0,Consolidation,Age,0.845705,0.012290,,,0.840626,0.851040,0.838750
CLIP-ViT-B16,baseline,0,Edema,Gender,0.849966,0.015343,0.858005,0.842662,,,
CLIP-ViT-B16,baseline,0,Edema,Age,0.849966,0.038452,,,0.866029,0.856631,0.827577
CLIP-ViT-B16,baseline,0,Enlarged Cardiomediastinum,Gender,0.762605,0.023419,0.775613,0.752193,,,
CLIP-ViT-B16,baseline,0,Enlarged Cardiomediastinum,Age,0.762605,0.071898,,,0.732937,0.783158,0.711260
CLIP-ViT-B16,baseline,0,Lung Opacity,Gender,0.702691,0.033755,0.722085,0.688330,,,
CLIP-ViT-B16,baseline,0,Lung Opacity,Age,0.702691,0.047071,,,0.697318,0.718456,0.671385
CLIP-ViT-B16,baseline,0,Pleural Effusion,Gender,0.833583,0.016701,0.842727,0.826025,,,
CLIP-ViT-B16,baseline,0,Pleural Effusion,Age,0.833583,0.036856,,,0.844905,0.827076,0.808048
CLIP-ViT-B16,baseline,0,Pneumonia,Gender,0.717162,0.006461,0.713809,0.720270,,,
CLIP-ViT-B16,baseline,0,Pneumonia,Age,0.717162,0.008534,,,0.709954,0.718488,0.711339
CLIP-ViT-B16,baseline,0,Pneumothorax,Gender,0.672665,0.037597,0.695116,0.657519,,,
