attribute,attribute_type,model,disease,auroc_baseline,auroc_residualized,auroc_drop,log_or,abs_log_or,odds_ratio,erank,norm_erank,log_erank,abs_log_or_z,log_erank_z,interaction_z,predicted_drop,residual
depression,comorbidity,CLIP-ViT-B16,Cardiomegaly,0.782114,0.782454,-0.00034,0.03699616390576443,0.03699616390576443,1.0376890401575767,63.77312931303896,0.12455689318952921,4.155331930991456,-0.8498309781621928,0.3557818495420743,-0.3023544372086951,-0.0005061086910327483,0.00016610869103274827
depression,comorbidity,CLIP-ViT-B16,Consolidation,0.845705,0.845631,7.5e-05,-0.0895542427250649,0.0895542427250649,0.9143386675582026,63.77312931303896,0.12455689318952921,4.155331930991456,-0.5807844003834365,0.3557818495420743,-0.20663254815360366,0.00108374246072797,-0.00100874246072797
depression,comorbidity,CLIP-ViT-B16,Edema,0.849966,0.849482,0.000484,0.0532519426306497,0.0532519426306497,1.0546953343658008,63.77312931303896,0.12455689318952921,4.155331930991456,-0.7666170987109328,0.3557818495420743,-0.2727484492699546,-1.4380889919979323e-05,0.0004983808899199794
depression,comorbidity,CLIP-ViT-B16,Enlarged Cardiomediastinum,0.762605,0.762632,-2.7e-05,-0.037221085160823286,0.037221085160823286,0.9634631044055462,63.77312931303896,0.12455689318952921,4.155331930991456,-0.8486795986730121,0.3557818495420743,-0.3019447972845096,-0.0004993049545864419,0.0004723049545864419
depression,comorbidity,CLIP-ViT-B16,Lung Opacity,0.702691,0.702713,-2.2e-05,0.06535361034041848,0.06535361034041848,1.0675364495768784,63.77312931303896,0.12455689318952921,4.155331930991456,-0.7046682536261819,0.3557818495420743,-0.25070817458870653,0.00035168748203763707,-0.00037368748203763706
depression,comorbidity,CLIP-ViT-B16,Pleural Effusion,0.833583,0.833752,-0.000169,-0.0820892552302567,0.0820892552302567,0.9211897340250917,63.77312931303896,0.12455689318952921,4.155331930991456,-0.6189979230950357,0.3557818495420743,-0.22022822594145447,0.0008579309540459206,-0.0010269309540459205
depression,comorbidity,CLIP-ViT-B16,Pneumonia,0.717162,0.717116,4.6e-05,-0.0021398064294344057,0.0021398064294344057,0.997862481324269,63.77312931303896,0.12455689318952921,4.155331930991456,-1.0282618474693062,0.3557818495420743,-0.36583690190618007,-0.0015604931229761887,0.0016064931229761888
depression,comorbidity,CLIP-ViT-B16,Pneumothorax,0.672665,0.671551,0.001114,-0.29225452455402834,0.29225452455402834,0.7465784892315832,63.77312931303896,0.12455689318952921,4.155331930991456,0.45684517752353426,0.3557818495420743,0.1625372222137003,0.007215307460201617,-0.006101307460201617
depression,comorbidity,CLIP-ViT-B16,Support Devices,0.745818,0.746103,-0.000285,0.10329664827026998,0.10329664827026998,1.1088202899136728,63.77312931303896,0.12455689318952921,4.155331930991456,-0.5104365629920232,0.3557818495420743,-0.18160406445520155,0.00149944219281148,-0.0017844421928114801
sex,demographic,ConvNeXtV2-Base,Atelectasis,0.648145,0.646511,0.001634,0.07882910554079287,0.07882910554079287,1.082019395149886,76.21363326767849,0.07442737623796727,4.3335403609633465,-0.6356867392903989,0.5300944216352932,-0.3369739944053694,0.0007454514896627477,0.0008885485103372523
sex,demographic,ConvNeXtV2-Base,Cardiomegaly,0.81695,0.817173,-0.000223,-0.09405993699740053,0.09405993699740053,0.9102282042602499,76.21363326767849,0.07442737623796727,4.3335403609633465,-0.5577195994675384,0.5300944216352932,-0.2956440485144121,0.0012066055523591557,-0.0014296055523591558
sex,demographic,ConvNeXtV2-Base,Consolidation,0.846056,0.843734,0.002322,0.2747962991139378,0.2747962991139378,1.316262523714864,76.21363326767849,0.07442737623796727,4.3335403609633465,0.3674759327896209,0.5300944216352932,0.19479694205700396,0.006678881173323463,-0.004356881173323463
sex,demographic,ConvNeXtV2-Base,Edema,0.874384,0.874286,9.8e-05,0.014493927574757521,0.014493927574757521,1.0145994738532362,76.21363326767849,0.07442737623796727,4.3335403609633465,-0.9650206847350099,0.5300944216352932,-0.5115520817406997,-0.0012024676884765696,0.0013004676884765696
sex,demographic,ConvNeXtV2-Base,Enlarged Cardiomediastinum,0.713427,0.71547,-0.002044,0.03783150514632934,0.03783150514632934,1.0385562267556403,76.21363326767849,0.07442737623796727,4.3335403609633465,-0.8455548381833298,0.5300944216352932,-0.44822390290771613,-0.0004958602559615244,-0.0015481397440384754
sex,demographic,ConvNeXtV2-Base,Lung Opacity,0.684308,0.685582,-0.001274,0.05034743655566229,0.05034743655566229,1.0516364098427677,76.21363326767849,0.07442737623796727,4.3335403609633465,-0.7814853632511884,0.5300944216352932,-0.41426103164908573,-0.00011690703634990082,-0.0011570929636500991
