model,dimension,disease,subgroup,n,n_pos,prevalence,auroc,auroc_ci_lo,auroc_ci_hi,auprc,auprc_ci_lo,auprc_ci_hi,ece,brier,tpr,fpr,sufficient_data
BiomedCLIP,Gender,Pleural Effusion,Male,6990,4734,0.67725325,0.885380804921093,0.8771430003613789,0.8930270586714882,0.9378715043745691,0.9318991805531576,0.9441314876350285,0.09799448171462623,0.13794002,0.7955217574989438,0.19281914893617022,True
BiomedCLIP,Gender,Pneumonia,Female,2800,1128,0.40285715,0.7673185169160813,0.7485838710601289,0.7847478706268218,0.7084553999539651,0.6815716871110392,0.7342639487196432,0.06486965384334326,0.19248502,0.6533687943262412,0.24820574162679426,True
BiomedCLIP,Gender,Pneumonia,Male,3183,1324,0.41595978,0.7759779727592881,0.7590352791702403,0.7914150617520123,0.7347546672409773,0.7111359505336974,0.7576062380852502,0.0759241761762018,0.19203888,0.6774924471299094,0.2694997310381926,True
BiomedCLIP,Gender,Pneumothorax,Female,3465,635,0.18326119,0.7049347541804624,0.6828479821574028,0.7273651767280136,0.4099990630786584,0.3722549196954049,0.4521906746013247,0.265159489291829,0.21226917,0.7007874015748031,0.4045936395759717,True
BiomedCLIP,Gender,Pneumothorax,Male,4825,994,0.20601036,0.7035830225414086,0.6852938922811246,0.7210507084189608,0.4206876925573047,0.3925097033450138,0.4537742867581757,0.25323273954459424,0.21588543,0.704225352112676,0.4147742103889324,True
BiomedCLIP,Age,Cardiomegaly,<50,1629,953,0.5850215,0.8565725178042556,0.8390789982441693,0.8753108584218463,0.887434948611056,0.8702297712548825,0.9052397095703139,0.09521464056274218,0.16246758,0.7555089192025184,0.22633136094674555,True
BiomedCLIP,Age,Cardiomegaly,50-70,3968,2813,0.7089214,0.837784990220113,0.8245575454111287,0.8504645161040778,0.9239241429153915,0.9154987513478938,0.9321474200101445,0.14580663719454842,0.16819301,0.7771062922147174,0.2632034632034632,True
BiomedCLIP,Age,Cardiomegaly,70+,3826,3161,0.8261892,0.8124610799380608,0.7949917672719817,0.8302427855725378,0.948024452993455,0.9397152095820361,0.9559585095257166,0.18760096386924066,0.15776226,0.8342296741537488,0.37293233082706767,True
BiomedCLIP,Age,Consolidation,<50,589,303,0.51443124,0.8968127581988968,0.8709318105027504,0.9214325149067605,0.9123322451286389,0.8867435068833083,0.9346986243159802,0.05391033883056333,0.12761845,0.768976897689769,0.10839160839160839,True
BiomedCLIP,Age,Consolidation,50-70,1206,707,0.58623546,0.9166338334377383,0.9029936479492331,0.9322388683415666,0.9452401585953601,0.9335930090371447,0.957062683751322,0.04518294959617887,0.1167913,0.8147100424328148,0.13226452905811623,True
BiomedCLIP,Age,Consolidation,70+,1093,703,0.6431839,0.8827734617208302,0.860764588520685,0.9027881195973301,0.9254847760571325,0.9062780550541768,0.9425528644345845,0.045244028534457324,0.1313565,0.8392603129445235,0.20512820512820512,True
BiomedCLIP,Age,Edema,<50,1290,527,0.40852714,0.9075655121474456,0.8920392704438226,0.9230948251899639,0.8739009773542824,0.8501643218203582,0.8976880040909347,0.03723027624132097,0.12048766,0.8406072106261859,0.17562254259501967,True
BiomedCLIP,Age,Edema,50-70,3485,1778,0.5101865,0.8968358304948262,0.8864235208645878,0.9069391631283442,0.8929565495377708,0.8794137739803108,0.9058865092005466,0.017655491670713876,0.12928836,0.8177727784026997,0.19214997070884593,True
BiomedCLIP,Age,Edema,70+,3486,2112,0.605852,0.8596896227559438,0.8472534959162737,0.872168226048173,0.8944764156595246,0.8806138944310997,0.9087227805750733,0.028906448008476558,0.14797267,0.8285984848484849,0.2714701601164483,True
BiomedCLIP,Age,Enlarged Cardiomediastinum,<50,483,225,0.46583852,0.7501636520241172,0.7070655161985687,0.7951441822283678,0.7477553858636715,0.6910027851082329,0.804672006832019,0.07061963779832511,0.20228848,0.5688888888888889,0.15503875968992248,True
BiomedCLIP,Age,Enlarged Cardiomediastinum,50-70,891,516,0.57912457,0.8270645994832041,0.7982595296099411,0.8533187139378512,0.8794030247449256,0.854842073605333,0.9024567250199566,0.061610534235283176,0.17036936,0.7209302325581395,0.2,True
BiomedCLIP,Age,Enlarged Cardiomediastinum,70+,632,434,0.68670887,0.7616254713028907,0.7222839155579475,0.7995926812148817,0.8629773724714175,0.8289223305586036,0.8940745172766783,0.09567040925303216,0.18371585,0.7672811059907834,0.3484848484848485,True
BiomedCLIP,Age,Pleural Effusion,<50,2081,1084,0.5209034,0.906480511645638,0.8924267206120041,0.9177828466272272,0.9151601262738819,0.9009872501083179,0.9277472723095622,0.046770942337893334,0.12507561,0.7813653136531366,0.1283851554663992,True
BiomedCLIP,Age,Pleural Effusion,50-70,5288,3405,0.64391077,0.8877081671310582,0.8787741114376952,0.89684308262042,0.930670984179402,0.9226949691017051,0.9381923538951908,0.07594875561893438,0.1357382,0.7994126284875184,0.1980881571959639,True
BiomedCLIP,Age,Pleural Effusion,70+,5333,4138,0.7759235,0.8727309496027228,0.8613530445019894,0.8836604964423672,0.9561021931979701,0.9506735875733483,0.9612244670540924,0.10546695797400471,0.12709808,0.8487191880135331,0.2702928870292887,True
BiomedCLIP,Age,Pneumonia,<50,1330,499,0.37518796,0.7903170962864356,0.7635415735085679,0.8148714997816551,0.7393762440781088,0.7012478502486982,0.7736892180405245,0.059415122956261605,0.17446202,0.6132264529058116,0.17328519855595667,True
BiomedCLIP,Age,Pneumonia,50-70,2601,1045,0.40176857,0.7800605158608135,0.7604220260846721,0.7982826208763775,0.732745808089712,0.7058189504359265,0.7584330310384833,0.06977124343762624,0.1874322,0.6535885167464115,0.2416452442159383,True
BiomedCLIP,Age,Pneumonia,70+,2052,908,0.44249514,0.7419326268445212,0.7204221040896501,0.7626787252845649,0.7012577328783981,0.6710438434372697,0.7328065669614879,0.08323025794202357,0.20987922,0.710352422907489,0.34615384615384615,True
BiomedCLIP,Age,Pneumothorax,<50,1761,441,0.2504259,0.7373514052085479,0.7089482518297558,0.764217951510151,0.5175003563160544,0.47089428574142916,0.5647956366745506,0.20925487575799753,0.20698747,0.7505668934240363,0.3878787878787879,True
BiomedCLIP,Age,Pneumothorax,50-70,3471,647,0.18640162,0.6993519337452001,0.6744420035578851,0.7242844845142793,0.4057847423739007,0.3661375619904245,0.4485688571899464,0.2526873798187134,0.20703146,0.652241112828439,0.37747875354107646,True
BiomedCLIP,Age,Pneumothorax,70+,3058,541,0.17691301,0.6871851814316987,0.6631661655333758,0.7134938707102386,0.36646671033045347,0.3277019416372845,0.4111951246306292,0.29304578509047735,0.2269617,0.7245841035120147,0.45927691696464046,True
BiomedCLIP,BMI,Cardiomegaly,<25,2613,1734,0.66360503,0.8354190367842245,0.8192925901185611,0.8503910982095612,0.9044898524104641,0.8912394647746037,0.9159292968148156,0.1400751435820554,0.17542997,0.7520184544405998,0.24800910125142206,True
BiomedCLIP,BMI,Cardiomegaly,25-30,2148,1545,0.71927375,0.8455231930960085,0.8285638870361375,0.8629723340886079,0.9320280334052623,0.9211203276378156,0.9424380900941288,0.16501896532193466,0.16860762,0.7831715210355987,0.25870646766169153,True
BiomedCLIP,BMI,Cardiomegaly,30+,2735,2198,0.8036563,0.8478538979908941,0.8294900777891593,0.8646600890567963,0.9526373365276467,0.9439183181059558,0.9604129582191107,0.16865713767966142,0.1476789,0.8339399454049136,0.2849162011173184,True
BiomedCLIP,BMI,Consolidation,<25,945,606,0.64126986,0.8929047772033841,0.8719957857742792,0.9123369765133935,0.938871663158928,0.9217320006521471,0.9522475585863297,0.05318699797625265,0.12859975,0.8168316831683168,0.1710914454277286,True
BiomedCLIP,BMI,Consolidation,25-30,635,334,0.5259842,0.8866055264885512,0.8598469926514771,0.9098158827016033,0.8969956056476928,0.8659304956604424,0.925039478609467,0.04868869526883749,0.13946666,0.7514970059880239,0.14285714285714285,True
BiomedCLIP,BMI,Consolidation,30+,653,312,0.4777948,0.8720298518685615,0.8441761193781437,0.9014613555041887,0.8771060327283339,0.8463314580914534,0.9090325339711082,0.03376711917553342,0.13869572,0.7532051282051282,0.1348973607038123,True
BiomedCLIP,BMI,Edema,<25,2176,1107,0.5087316,0.8910276723596671,0.8782953176477228,0.9040137313985106,0.8881367974657111,0.8702189960618698,0.9061362218453695,0.017368605714770693,0.13312887,0.8572719060523939,0.2291861552853134,True
BiomedCLIP,BMI,Edema,25-30,1945,946,0.48637533,0.8826426849682664,0.8682023860122366,0.8966892636911705,0.8691624198734851,0.8490063151268342,0.8892131312602062,0.0233637694834437,0.13938776,0.8076109936575053,0.22722722722722724,True
BiomedCLIP,BMI,Edema,30+,2380,1210,0.50840336,0.8844303171575899,0.8715093421465785,0.8974381601474258,0.8826583442192429,0.8662775266178824,0.8994761847988431,0.023993930932791795,0.13745809,0.8520661157024794,0.24957264957264957,True
BiomedCLIP,BMI,Enlarged Cardiomediastinum,<25,605,323,0.5338843,0.802757833256483,0.7673124676673881,0.8366468936467244,0.8203941981592073,0.778891667199673,0.861357278602606,0.06099783861932675,0.18499683,0.6718266253869969,0.19148936170212766,True
BiomedCLIP,BMI,Enlarged Cardiomediastinum,25-30,453,262,0.57836646,0.8021461971943569,0.7644334700538105,0.8410179114920423,0.8514668793309115,0.8089945452199325,0.8862563967370769,0.09300530825229669,0.18803018,0.6450381679389313,0.18848167539267016,True
BiomedCLIP,BMI,Enlarged Cardiomediastinum,30+,492,306,0.6219512,0.7826094595544311,0.7397448405568383,0.821578567231602,0.8628919426180771,0.8267704787568322,0.8951973307147643,0.07728334667721415,0.18588974,0.738562091503268,0.26881720430107525,True
BiomedCLIP,BMI,Pleural Effusion,<25,4075,2891,0.70944786,0.9029721199061393,0.8927830875894595,0.9127244892237933,0.9552564028069772,0.949546598431257,0.9612458801240074,0.08643673719438308,0.12064966,0.8650985818056036,0.22212837837837837,True
BiomedCLIP,BMI,Pleural Effusion,25-30,2741,1715,0.6256841,0.8852715689450383,0.8725811847533502,0.8975954019701117,0.9234416104951435,0.9120644540143957,0.9340542225011984,0.08025279849093572,0.13949817,0.8239067055393586,0.2124756335282651,True
BiomedCLIP,BMI,Pleural Effusion,30+,3281,2108,0.64248705,0.8902261671932201,0.8781761664875385,0.9010282098067602,0.9324827822843312,0.9216577146397422,0.9413704357916853,0.07577640075476132,0.13433681,0.8339658444022771,0.21994884910485935,True
BiomedCLIP,BMI,Pneumonia,<25,1902,872,0.45846477,0.7840496125411954,0.7635979463462204,0.8028492571680692,0.7642990898872021,0.7374389810386133,0.7926779583927486,0.05657349548818687,0.19093427,0.7006880733944955,0.2912621359223301,True
BiomedCLIP,BMI,Pneumonia,25-30,1512,551,0.364418,0.7579672565820162,0.7304028703638421,0.7837998094615902,0.6744402816007334,0.6352079835099994,0.7152953434666043,0.08752657715526838,0.19228393,0.6424682395644283,0.2299687825182102,True
BiomedCLIP,BMI,Pneumonia,30+,1553,505,0.32517707,0.7309783840979518,0.7051021537880039,0.7564569747642107,0.604981234032098,0.5604727621465768,0.6493366957065853,0.09481961882198847,0.19371948,0.5544554455445545,0.21469465648854963,True
BiomedCLIP,BMI,Pneumothorax,<25,2721,750,0.27563396,0.7285858278369695,0.7068498884062671,0.7491541296095816,0.5424876914214134,0.5058049188554019,0.581150043063473,0.2578977410493638,0.24003774,0.7653333333333333,0.46930492135971585,True
BiomedCLIP,BMI,Pneumothorax,25-30,1841,334,0.18142314,0.6838883612999614,0.6529885291733548,0.7135135588831295,0.3317708839590492,0.28628502445753695,0.38148443121403075,0.2586033002052017,0.21212552,0.5449101796407185,0.2913072329130723,True
BiomedCLIP,BMI,Pneumothorax,30+,2073,281,0.13555235,0.638543784951703,0.6008872044175205,0.674242767880749,0.24694671812850238,0.20311065015980825,0.2986383315234787,0.24265997496007208,0.18162659,0.3914590747330961,0.20814732142857142,True
CLIP-ViT-B16,Gender,Cardiomegaly,Female,4246,3117,0.73410267,0.802180846030497,0.7857444230314634,0.8175268781040966,0.9099381708469484,0.8998656332901724,0.9199539532171699,0.16372162548476832,0.17587477,0.7083734359961501,0.2533215234720992,True
CLIP-ViT-B16,Gender,Cardiomegaly,Male,5177,3810,0.73594743,0.7825828922079694,0.7683006669833213,0.7962026669683819,0.898104183054169,0.8877320594573861,0.9078487800432212,0.1849631647506874,0.18913093,0.6556430446194226,0.24433065106071689,True
CLIP-ViT-B16,Gender,Consolidation,Female,1322,732,0.5537065,0.8646082245068074,0.8453469354734842,0.8845700366860517,0.8932486392248349,0.8736692885792842,0.9122547448844437,0.05181111086515002,0.151084,0.7513661202185792,0.16610169491525423,True
CLIP-ViT-B16,Gender,Consolidation,Male,1566,981,0.62643677,0.8560286468543348,0.836860363632904,0.873410744364165,0.9085384696723544,0.8913289549604164,0.9235042209604009,0.07065668300574462,0.15447617,0.764525993883792,0.2188034188034188,True
CLIP-ViT-B16,Gender,Edema,Female,3807,2079,0.5460993,0.8625335141538846,0.8507764275671815,0.8737463602518803,0.867742688811367,0.8522006839138271,0.8820564516975128,0.021084985959739677,0.14885604,0.7873977873977874,0.21296296296296297,True
CLIP-ViT-B16,Gender,Edema,Male,4454,2338,0.5249214,0.851860281597216,0.8409227241241235,0.8632769725394416,0.8511127358013495,0.8368794601413738,0.8671022881416909,0.014384759810000832,0.15576662,0.7775876817792986,0.23109640831758035,True
CLIP-ViT-B16,Gender,Enlarged Cardiomediastinum,Female,882,536,0.60770977,0.7794840824777844,0.7481273891630131,0.8106640041846818,0.8252849199805371,0.791338881458539,0.8602562326126969,0.08427898023201495,0.19071749,0.7182835820895522,0.2774566473988439,True
CLIP-ViT-B16,Gender,Enlarged Cardiomediastinum,Male,1124,639,0.56850535,0.7819660229417743,0.7553891431555305,0.8097025678150221,0.8140708316370752,0.7802875546387832,0.8472957913419915,0.052234194768440254,0.18963672,0.7386541471048513,0.2907216494845361,True
CLIP-ViT-B16,Gender,Pleural Effusion,Female,5712,3893,0.68154764,0.8522022654665404,0.8417037888089406,0.8621835033628004,0.9147802711971643,0.9064454741133253,0.9229651326581453,0.10179209144373819,0.14943305,0.8165938864628821,0.28257284222100054,True
CLIP-ViT-B16,Gender,Pleural Effusion,Male,6990,4734,0.67725325,0.8388128301527804,0.8286274252114103,0.8488975738370621,0.9105058150622033,0.9032143540337428,0.9181769482159139,0.1159674074170373,0.16203447,0.7824250105618927,0.2708333333333333,True
CLIP-ViT-B16,Gender,Pneumonia,Female,2800,1128,0.40285715,0.7223713902745258,0.7029427145878754,0.7419063776796527,0.6429306448529472,0.6138860181364789,0.6721442865052765,0.07253742415990148,0.2103023,0.6081560283687943,0.26495215311004783,True
CLIP-ViT-B16,Gender,Pneumonia,Male,3183,1324,0.41595978,0.7384143279448879,0.7218407680584761,0.7563002876935987,0.6769383893858538,0.6513250788377882,0.7032453710034859,0.08433088372797103,0.2082287,0.6691842900302115,0.3189887036040882,True
CLIP-ViT-B16,Gender,Pneumothorax,Female,3465,635,0.18326119,0.6995206032108177,0.6778455461999214,0.7228089489224601,0.36867541596551,0.3349003825344207,0.40590536712087827,0.27113864004052907,0.21879481,0.6440944881889764,0.35441696113074206,True
CLIP-ViT-B16,Gender,Pneumothorax,Male,4825,994,0.20601036,0.664630172052939,0.6447934860337889,0.6839005018160719,0.3539865140153192,0.32731929162640616,0.38538079921631885,0.24975709653888964,0.22339842,0.5724346076458753,0.3356825894022448,True
CLIP-ViT-B16,Age,Cardiomegaly,<50,1629,953,0.5850215,0.8075557100902164,0.7871524770078325,0.8303013714054974,0.8340153287035887,0.8091439716342675,0.8599331885438755,0.10988839154067107,0.18621112,0.6201469045120671,0.1863905325443787,True
CLIP-ViT-B16,Age,Cardiomegaly,50-70,3968,2813,0.7089214,0.785135033233149,0.7709897623236641,0.8001414433468033,0.8906042143528704,0.8787522993054399,0.9023627214606987,0.1617487931488863,0.1886032,0.6605047991468184,0.24155844155844156,True
CLIP-ViT-B16,Age,Cardiomegaly,70+,3826,3161,0.8261892,0.7600497605925601,0.7391675342000746,0.779278422121536,0.9323454616445486,0.9222496822594982,0.9410774265848502,0.21743047449268474,0.17621009,0.7140145523568491,0.3233082706766917,True
