model,attribute,disease,linear_drop,mlp_drop
CLIP-ViT-B16,bmi,Support Devices,-0.0002398159099643582,0.003184918464047559
ConvNeXtV2-Base,age,Atelectasis,0.009555688239941573,0.009003238705241667
ConvNeXtV2-Base,age,Cardiomegaly,0.035285676079851114,0.03473089786158212
ConvNeXtV2-Base,age,Consolidation,0.005886400616065046,0.0061417694476531
ConvNeXtV2-Base,age,Edema,0.01179548933184782,0.011561847059075703
ConvNeXtV2-Base,age,Enlarged Cardiomediastinum,0.021356478992242134,0.018033131064853936
ConvNeXtV2-Base,age,Lung Opacity,0.015246450347503493,0.014607939282820892
ConvNeXtV2-Base,age,Pleural Effusion,0.019107026662617876,0.01879364329850408
ConvNeXtV2-Base,age,Pneumonia,0.0030862743086981226,0.0026504929769096686
ConvNeXtV2-Base,age,Pneumothorax,-0.0035313626158660627,-0.0031508365904756586
ConvNeXtV2-Base,age,Support Devices,0.004237291105877228,0.00475602147824139
ConvNeXtV2-Base,bmi,Atelectasis,0.0006335933468905042,0.0005197741827784874
ConvNeXtV2-Base,bmi,Cardiomegaly,0.01134800914047951,0.010985558682384045
ConvNeXtV2-Base,bmi,Consolidation,0.004547260570650802,0.0063555803069828
ConvNeXtV2-Base,bmi,Edema,-1.145226666865451e-05,-0.0004773039736337692
ConvNeXtV2-Base,bmi,Enlarged Cardiomediastinum,-0.0007442491003443186,0.0009622442601703307
ConvNeXtV2-Base,bmi,Lung Opacity,0.0017042687875346019,0.002341028554305624
ConvNeXtV2-Base,bmi,Pleural Effusion,0.002005814877538259,0.00291399875545173
ConvNeXtV2-Base,bmi,Pneumonia,0.003847800174494931,0.005763081325889097
ConvNeXtV2-Base,bmi,Pneumothorax,0.012385956864135128,0.01823536362435796
ConvNeXtV2-Base,bmi,Support Devices,4.54572077212001e-05,0.0010277408437966429
