model,fusion,disease,auroc_mean,auroc_std,n_seeds,tier1
CLIP-ViT-B16,Late Fusion,Enlarged Cardiomediastinum,0.7832234938679365,0.002272905074846205,5,True
CLIP-ViT-B16,Late Fusion,Lung Opacity,0.7247925638511064,0.005057235462358675,5,False
CLIP-ViT-B16,Late Fusion,Pleural Effusion,0.8467398074670692,0.0021180111355942914,5,True
CLIP-ViT-B16,Late Fusion,Pneumonia,0.731902577635605,0.0013933809258038106,5,True
CLIP-ViT-B16,Late Fusion,Pneumothorax,0.6954285544185854,0.0038461824476250074,5,True
CLIP-ViT-B16,Late Fusion,Support Devices,0.7546961747139973,0.0011037096054379908,5,False
CLIP-ViT-B16,Late Fusion,MEAN,0.7808025432815086,0.0012180125910490238,5,True
ConvNeXtV2-Base,CXR-Only,Atelectasis,0.7410123215545784,0.005850745387996071,5,False
ConvNeXtV2-Base,CXR-Only,Cardiomegaly,0.8129171710105014,0.003123598091008255,5,True
ConvNeXtV2-Base,CXR-Only,Consolidation,0.8776599470879758,0.001959337238018202,5,True
ConvNeXtV2-Base,CXR-Only,Edema,0.8853258399754802,0.000977305207429397,5,True
ConvNeXtV2-Base,CXR-Only,Enlarged Cardiomediastinum,0.7868151675755947,0.0012892624246445589,5,True
ConvNeXtV2-Base,CXR-Only,Lung Opacity,0.7402166034196052,0.0036970478784216147,5,False
ConvNeXtV2-Base,CXR-Only,Pleural Effusion,0.8743080455781215,0.0029291915938380094,5,True
ConvNeXtV2-Base,CXR-Only,Pneumonia,0.7471330023566611,0.0022817997769127123,5,True
ConvNeXtV2-Base,CXR-Only,Pneumothorax,0.7048866398317022,0.0020025275893578768,5,True
ConvNeXtV2-Base,CXR-Only,Support Devices,0.7587356823407357,0.004284916225968945,5,False
ConvNeXtV2-Base,CXR-Only,MEAN,0.7929010420730956,0.0020590373727193156,5,True
ConvNeXtV2-Base,Metadata-Only,Atelectasis,0.577850573256859,0.003589889749957745,5,False
