model,finding,dimension,auroc_gap,gap_ci_lo,gap_ci_hi,sens_gap,spec_gap,fpr_gap,fnr_gap,ece_gap
DINOv2-base,Edema,Gender,0.0030536255060400475,0.00022094345610877697,0.016849686462759268,0.004850328203621634,0.0038507316390113955,0.0038507316390113955,0.004850328203621634,0.0018791574682961235
DINOv2-base,Edema,Age,0.03274308086237965,0.01989583735039238,0.053305842305794805,0.02405159277787361,0.10678181773089823,0.10678181773089823,0.02405159277787361,0.020280782247557638
DINOv2-base,Edema,Race,0.02548490660522784,0.01233342791288645,0.07321361410040064,0.070999407633071,0.04275587062472308,0.04275587062472308,0.070999407633071,0.029905949245930513
DINOv2-base,Enlarged Cardiomediastinum,Gender,0.029492056314159854,0.0017952066481552148,0.0698350551734871,0.016756008688949664,0.07311244860258626,0.07311244860258626,0.016756008688949664,0.01746221976016773
DINOv2-base,Enlarged Cardiomediastinum,Age,0.07771163570113315,0.0372446455780157,0.13250875417025654,0.1536200716845878,0.2747239840263096,0.2747239840263096,0.1536200716845878,0.030977504677773146
DINOv2-base,Enlarged Cardiomediastinum,Race,0.01482470484071996,0.022744973137880372,0.16826060710850618,0.09200980392156866,0.11895777178796052,0.11895777178796052,0.09200980392156866,0.11028261600328151
DINOv2-base,Lung Opacity,Gender,0.017092897206651303,0.0011860718396294351,0.06422189073004932,0.005764509548471519,0.07427546283452635,0.07427546283452635,0.005764509548471519,0.0026503410934656593
DINOv2-base,Lung Opacity,Age,0.0633566833800202,0.022337344755848705,0.1238824996287468,0.1477587236239849,0.22679435383310892,0.22679435383310897,0.1477587236239849,0.014802543425581065
DINOv2-base,Lung Opacity,Race,0.057443946610884145,0.030144331847346134,0.2132190069984101,0.03948210288896947,0.11417678986818292,0.11417678986818292,0.03948210288896947,0.01377144773829663
DINOv2-base,Pleural Effusion,Gender,0.02109483930071021,0.008895769362887967,0.03438440405098045,0.03497926309514621,0.017601099895118155,0.017601099895118155,0.03497926309514621,0.010897339165460943
DINOv2-base,Pleural Effusion,Age,0.013933160040218384,0.0037786246758072933,0.03235656962190232,0.12556692628308586,0.17790862126127338,0.17790862126127338,0.12556692628308586,0.007261354997254742
DINOv2-base,Pleural Effusion,Race,0.03317101510960829,0.017765824655910336,0.07036768807812763,0.09963937867629769,0.0502077791284975,0.0502077791284975,0.09963937867629769,0.019101384338187533
DINOv2-base,Pneumonia,Gender,0.010102511196344532,0.000626402271197174,0.035651402553409116,0.05439405626620386,0.021233826901843167,0.021233826901843167,0.05439405626620386,0.005464994444135653
DINOv2-base,Pneumonia,Age,0.015396750716832885,0.005763279893592532,0.05140479790309301,0.13680886001077042,0.15437525771460792,0.15437525771460792,0.13680886001077042,0.025463257621477282
DINOv2-base,Pneumonia,Race,0.03861122217779556,0.015327546906267978,0.11890536819523627,0.06373315211235697,0.1478825136612022,0.1478825136612022,0.06373315211235697,0.0626945246097066
DINOv2-base,Pneumothorax,Gender,0.02673715904465468,0.0021173853196152477,0.05379671428685142,0.036839937261363476,0.020196407768870772,0.020196407768870772,0.036839937261363476,0.013268082614646862
DINOv2-base,Pneumothorax,Age,0.029165292118579655,0.007220712219939707,0.06581551831034864,0.06062675165058695,0.05342410982092316,0.05342410982092316,0.06062675165058695,0.028141709908310213
DINOv2-base,Pneumothorax,Race,0.0539516676340388,0.03159788875963942,0.12297207377212725,0.2568852459016393,0.20729550212981018,0.20729550212981018,0.2568852459016393,0.04655464876042698
DINOv2-base,Support Devices,Gender,0.04147894566182975,0.0029703486358594795,0.09066525360340444,0.015941809014939023,0.04572443779512836,0.04572443779512836,0.015941809014939023,0.007199683997743888
DINOv2-base,Support Devices,Age,0.0639877380935665,0.022977039728329502,0.12429028573594597,0.021257364801862133,0.1289438881541659,0.1289438881541659,0.021257364801862133,0.004221080915049684
DINOv2-base,Support Devices,Race,0.09091623744819988,0.03193672274298224,0.21869858379847126,0.0975579322638146,0.1630716134598792,0.1630716134598792,0.0975579322638146,0.0061587020521894405
BiomedCLIP,Atelectasis,Gender,0.02481598174398225,0.0021306795182810838,0.09713066336080156,0.05971580490229078,0.012952380952380937,0.012952380952380937,0.05971580490229078,0.002032562443110974
BiomedCLIP,Atelectasis,Age,0.08950510550551538,0.02652001915660209,0.1806709555047121,0.09237935329503466,0.16338259441707714,0.16338259441707714,0.09237935329503466,0.004206572044394063
