model,disease,race_group,n,auroc,brier,mean_pred,prevalence,calib_gap
DINOv2-base,Pneumonia,White,3927,0.7485598091486944,0.19732242324214772,0.42708700485590245,0.4163483679294586,0.010738636926443834
DINOv2-base,Pneumonia,Black,872,0.7302367757051456,0.19726975681904388,0.38831415562790905,0.37155961990356445,0.0167545357243446
DINOv2-base,Pneumonia,Asian,227,0.7096018735362998,0.21791633790703738,0.4591651651271062,0.46255508065223694,-0.003389915525130738
DINOv2-base,Pneumonia,Other,541,0.7488240418118467,0.19309783682729836,0.3947060485014487,0.37892791628837585,0.015778132213072837
DINOv2-base,Pneumothorax,White,5861,0.6962689159544301,0.14592049399453705,0.1937046533377448,0.19843029975891113,-0.004725646421166324
DINOv2-base,Pneumothorax,Black,895,0.7477234039036805,0.13233338511314996,0.17554915301615792,0.18547485768795013,-0.009925704671792213
DINOv2-base,Pneumothorax,Asian,289,0.7229651998849583,0.15552739674345117,0.2716536860888364,0.2110726684331894,0.060581017655646996
DINOv2-base,Pneumothorax,Other,653,0.7158951175406871,0.12527262801697342,0.17026257423423743,0.15313935279846191,0.01712322143577552
DINOv2-base,Support Devices,White,8281,0.7408678103678056,0.039302611401188424,0.950417049949184,0.9591836929321289,-0.008766642982944939
DINOv2-base,Support Devices,Black,1188,0.6979940942877507,0.04929866216003396,0.9480366088556,0.9486532211303711,-0.0006166122747710556
DINOv2-base,Support Devices,Asian,359,0.7815789473684212,0.04658797885873525,0.9334450231885317,0.9470751881599426,-0.013630164971410896
DINOv2-base,Support Devices,Other,878,0.7407432818753574,0.05177081312308363,0.9525427890305298,0.9396355152130127,0.012907273817517106
BiomedCLIP,Atelectasis,White,5340,0.714291710790951,0.02857085189374432,0.969869937676218,0.9698501825332642,1.9755142953825633e-05
BiomedCLIP,Atelectasis,Black,826,0.7152742095707875,0.041071495365144664,0.9679302153115705,0.9552057981491089,0.012724417162461643
BiomedCLIP,Atelectasis,Asian,197,0.48750000000000004,0.02639423013822866,0.9683963492224662,0.9746192693710327,-0.006222920148566513
BiomedCLIP,Atelectasis,Other,620,0.6907530454042081,0.027380556448011156,0.9689504907427844,0.9709677696228027,-0.002017278880018347
BiomedCLIP,Cardiomegaly,White,6459,0.8423804790801025,0.1337274214710813,0.7532361037383148,0.7398977875709534,0.013338316167361475
BiomedCLIP,Cardiomegaly,Black,1333,0.8701950462571939,0.11217726985330893,0.7737501855600195,0.7794448733329773,-0.005694687772957785
BiomedCLIP,Cardiomegaly,Asian,281,0.8099893352292926,0.15611168057177172,0.7039402552113865,0.690391480922699,0.013548774288687504
BiomedCLIP,Cardiomegaly,Other,748,0.8565139705311132,0.12937310077590483,0.7225841363008646,0.7072192430496216,0.015364893251243017
BiomedCLIP,Consolidation,White,1925,0.8908645878305921,0.12701918914947266,0.616721886472577,0.6322078108787537,-0.015485924406176688
BiomedCLIP,Consolidation,Black,419,0.8875114155251141,0.13134473844737438,0.4990585046070049,0.4773269593715668,0.021731545235438132
BiomedCLIP,Consolidation,Asian,106,0.888888888888889,0.12423237983704008,0.6699191360766875,0.6792452931404114,-0.009326157063723861
BiomedCLIP,Consolidation,Other,236,0.9045974530541765,0.12002476920118182,0.46692130352383376,0.4788135588169098,-0.011892255293076026
BiomedCLIP,Edema,White,5718,0.8880785768016556,0.1333396739642412,0.5446537967652212,0.5475690960884094,-0.0029152993231882363
BiomedCLIP,Edema,Black,1093,0.8873438494256338,0.1347331392489407,0.5187351656732383,0.5077767372131348,0.010958428460103531
BiomedCLIP,Edema,Asian,228,0.8736428736428736,0.14491680719004493,0.5238496156356561,0.5131579041481018,0.010691711487554323
BiomedCLIP,Edema,Other,685,0.8712506637888209,0.14674385317935537,0.48286975822508527,0.4656934440135956,0.017176314211489685
BiomedCLIP,Enlarged Cardiomediastinum,White,1346,0.7895995190529042,0.18172845611254995,0.6022073878861646,0.6062406897544861,-0.004033301868321515
BiomedCLIP,Enlarged Cardiomediastinum,Black,223,0.7797734627831715,0.19007388363891214,0.5610241154331397,0.5381165742874146,0.02290754114572513
BiomedCLIP,Enlarged Cardiomediastinum,Asian,71,0.7666666666666667,0.1858806873444641,0.6520682671265651,0.7042253613471985,-0.052157094220633415
