attribute,attribute_type,model,disease,auroc_baseline,auroc_residualized,auroc_drop,log_or,abs_log_or,odds_ratio,erank,norm_erank,log_erank
asthma,comorbidity,DINOv2-base,Lung Opacity,0.7188,0.718377,0.000423,0.0139830046842011,0.0139830046842011,1.0140812241613872,91.37791693219594,0.1189816626721301,4.515003840210997
asthma,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.883393,0.000279,-0.1556829113899279,0.1556829113899279,0.8558305214612533,91.37791693219594,0.1189816626721301,4.515003840210997
asthma,comorbidity,DINOv2-base,Pneumonia,0.745943,0.746159,-0.000216,-0.0432332614186062,0.0432332614186062,0.9576879723556636,91.37791693219594,0.1189816626721301,4.515003840210997
asthma,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.701581,0.000626,-0.0394183084556522,0.0394183084556522,0.9613484848252836,91.37791693219594,0.1189816626721301,4.515003840210997
asthma,comorbidity,DINOv2-base,Support Devices,0.745245,0.745528,-0.000283,0.1250045655881655,0.1250045655881655,1.1331536265678035,91.37791693219594,0.1189816626721301,4.515003840210997
respiratory_failure,comorbidity,DINOv2-base,Atelectasis,0.696113,0.695964,0.000149,0.0364615297577575,0.0364615297577575,1.037134404438505,91.37791693219594,0.1189816626721301,4.515003840210997
respiratory_failure,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.806198,0.007027,0.365324902981282,0.365324902981282,1.44098211148501,91.37791693219594,0.1189816626721301,4.515003840210997
respiratory_failure,comorbidity,DINOv2-base,Consolidation,0.88276,0.876748,0.006012,0.3861592867809558,0.3861592867809558,1.4713190138198466,91.37791693219594,0.1189816626721301,4.515003840210997
respiratory_failure,comorbidity,DINOv2-base,Edema,0.889433,0.883427,0.006007,0.2862608927203287,0.2862608927203287,1.331439772888303,91.37791693219594,0.1189816626721301,4.515003840210997
respiratory_failure,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.769206,0.004496,0.0869232899454643,0.0869232899454643,1.0908130001840557,91.37791693219594,0.1189816626721301,4.515003840210997
respiratory_failure,comorbidity,DINOv2-base,Lung Opacity,0.7188,0.711912,0.006888,0.2111978391772415,0.2111978391772415,1.2351566932747238,91.37791693219594,0.1189816626721301,4.515003840210997
respiratory_failure,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.881254,0.002418,0.2542871508029904,0.2542871508029904,1.289542044141387,91.37791693219594,0.1189816626721301,4.515003840210997
respiratory_failure,comorbidity,DINOv2-base,Pneumonia,0.745943,0.744861,0.001082,0.1140465028632011,0.1140465028632011,1.12080424427874,91.37791693219594,0.1189816626721301,4.515003840210997
respiratory_failure,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.702328,-0.000121,-0.1429095580021127,0.1429095580021127,0.8668324634101816,91.37791693219594,0.1189816626721301,4.515003840210997
respiratory_failure,comorbidity,DINOv2-base,Support Devices,0.745245,0.742773,0.002472,0.3493210535247676,0.3493210535247676,1.4181044046816034,91.37791693219594,0.1189816626721301,4.515003840210997
pulmonary_fibrosis,comorbidity,DINOv2-base,Atelectasis,0.696113,0.698133,-0.00202,-0.3417635813189391,0.3417635813189391,0.7105161641484208,91.37791693219594,0.1189816626721301,4.515003840210997
pulmonary_fibrosis,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.813106,0.000118,0.2227965031361407,0.2227965031361407,1.24956626504523,91.37791693219594,0.1189816626721301,4.515003840210997
pulmonary_fibrosis,comorbidity,DINOv2-base,Consolidation,0.88276,0.882623,0.000138,0.0357114787979853,0.0357114787979853,1.0363567924438095,91.37791693219594,0.1189816626721301,4.515003840210997
pulmonary_fibrosis,comorbidity,DINOv2-base,Edema,0.889433,0.887708,0.001725,0.3035337447344937,0.3035337447344937,1.3546373020468616,91.37791693219594,0.1189816626721301,4.515003840210997
pulmonary_fibrosis,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.773429,0.000273,-0.2878675139380411,0.2878675139380411,0.7498609317802121,91.37791693219594,0.1189816626721301,4.515003840210997
pulmonary_fibrosis,comorbidity,DINOv2-base,Lung Opacity,0.7188,0.714311,0.004489,0.5916276754796344,0.5916276754796344,1.8069271140822416,91.37791693219594,0.1189816626721301,4.515003840210997
pulmonary_fibrosis,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.884263,-0.00059,-0.4517024526858588,0.4517024526858588,0.6365435433715441,91.37791693219594,0.1189816626721301,4.515003840210997
