model,attribute,disease,auroc_baseline,auroc_residualized,auroc_drop
BiomedCLIP,race_black_vs_white,Support Devices,0.4913039743760252,0.49110725052090265,0.0001967238551225381
BiomedCLIP,age,Atelectasis,0.5765304204839088,0.5798402630960771,-0.003309842612168268
BiomedCLIP,age,Cardiomegaly,0.5245896276846117,0.5253109865703249,-0.0007213588857132303
BiomedCLIP,age,Consolidation,0.5157209726789729,0.5171796811801579,-0.0014587085011850132
BiomedCLIP,age,Edema,0.5157771439153299,0.5168033019215543,-0.0010261580062244091
BiomedCLIP,age,Enlarged Cardiomediastinum,0.5201543110307513,0.5207100815852655,-0.0005557705545142788
BiomedCLIP,age,Lung Opacity,0.5136215932244528,0.5147169190677235,-0.0010953258432707669
BiomedCLIP,age,Pleural Effusion,0.5306947983214663,0.5324695019816064,-0.0017747036601400978
BiomedCLIP,age,Pneumonia,0.48410187192990217,0.4836195070142054,0.00048236491569675355
BiomedCLIP,age,Pneumothorax,0.5209087681610041,0.5226542144835773,-0.0017454463225732297
BiomedCLIP,age,Support Devices,0.521161731948623,0.5211181584124045,4.357353621853299e-05
BiomedCLIP,bmi,Atelectasis,0.5055091305804279,0.5081890034675381,-0.002679872887110246
BiomedCLIP,bmi,Cardiomegaly,0.5104822358210529,0.510731916568725,-0.0002496807476720653
BiomedCLIP,bmi,Consolidation,0.5102540882264206,0.5104621229001808,-0.00020803467376018236
BiomedCLIP,bmi,Edema,0.510153426951806,0.5101653587119748,-1.1931760168781835e-05
BiomedCLIP,bmi,Enlarged Cardiomediastinum,0.5099050645805321,0.5055180703255511,0.004386994254981014
BiomedCLIP,bmi,Lung Opacity,0.5149251252331789,0.5158014603451886,-0.0008763351120096852
BiomedCLIP,bmi,Pleural Effusion,0.5277570787979929,0.5276789291741124,7.814962388053015e-05
BiomedCLIP,bmi,Pneumonia,0.5018577075098815,0.5011198945981554,0.0007378129117260324
BiomedCLIP,bmi,Pneumothorax,0.5130360596113269,0.5132213681660455,-0.00018530855471854402
BiomedCLIP,bmi,Support Devices,0.5433868963087851,0.5413981317576824,0.0019887645511027507
XRV-DenseNet-nih,sex,Atelectasis,0.5338971106412966,0.5288372093023257,0.00505990133897094
XRV-DenseNet-nih,sex,Cardiomegaly,0.5140633919716097,0.513790608134258,0.00027278383735163114
XRV-DenseNet-nih,sex,Consolidation,0.49968559579026106,0.4987305691846782,0.0009550266055828871
XRV-DenseNet-nih,sex,Edema,0.511348347622008,0.5105900904560975,0.000758257165910492
